symbol,side,entry_time,entry,sl,tp,exit_time,exit,outcome,points,h4_fvg_created_at,h4_low,h4_high,m15_fvg_created_at,m15_low,m15_high,trigger_time
AUDCAD,long,2025-02-19 07:45:00+00:00,0.90245,0.90198,0.90345,2025-02-19 11:00:00+00:00,0.90198,sl,-46.99999999999704,2025-02-19 04:00:00+00:00,0.90169,0.90173,2025-02-19 05:00:00+00:00,0.90198,0.90213,2025-02-19 07:30:00+00:00
AUDCAD,long,2025-02-26 10:45:00+00:00,0.90654,0.90622,0.90754,2025-02-26 10:45:00+00:00,0.90622,sl,-31.999999999998693,2025-02-25 20:00:00+00:00,0.90557,0.90643,2025-02-26 06:30:00+00:00,0.90622,0.90635,2025-02-26 10:30:00+00:00
AUDCAD,short,2025-03-19 15:00:00+00:00,0.90673,0.90691,0.90573,2025-03-19 15:00:00+00:00,0.90691,sl,-17.999999999995797,2025-03-19 08:00:00+00:00,0.90764,0.90929,2025-03-19 13:15:00+00:00,0.90675,0.90691,2025-03-19 14:45:00+00:00
AUDCAD,short,2025-03-20 09:15:00+00:00,0.90559,0.90616,0.90459,2025-03-20 09:30:00+00:00,0.90459,tp,100.00000000000009,2025-03-20 08:00:00+00:00,0.90688,0.90692,2025-03-20 08:30:00+00:00,0.90595,0.90616,2025-03-20 09:00:00+00:00
AUDCAD,long,2025-03-24 05:30:00+00:00,0.90054,0.90027,0.90154,2025-03-24 06:15:00+00:00,0.90154,tp,100.00000000000009,2025-03-24 00:00:00+00:00,0.90022,0.90028,2025-03-24 04:45:00+00:00,0.90027,0.90041,2025-03-24 05:15:00+00:00
AUDCAD,short,2025-03-25 08:15:00+00:00,0.89986,0.90039,0.89886,2025-03-25 08:45:00+00:00,0.90039,sl,-53.00000000000304,2025-03-24 16:00:00+00:00,0.89989,0.90132,2025-03-25 07:30:00+00:00,0.90014,0.90039,2025-03-25 08:00:00+00:00
AUDCAD,short,2025-03-26 20:00:00+00:00,0.89832,0.89871,0.89732,2025-03-26 20:15:00+00:00,0.89871,sl,-39.00000000000014,2025-03-26 16:00:00+00:00,0.89964,0.89994,2025-03-26 18:30:00+00:00,0.89861,0.89871,2025-03-26 19:45:00+00:00
AUDCAD,long,2025-03-27 21:15:00+00:00,0.90174,0.90113,0.90274,2025-03-27 21:30:00+00:00,0.90113,sl,-60.999999999999936,2025-03-27 08:00:00+00:00,0.90037,0.90063,2025-03-27 11:00:00+00:00,0.90113,0.90132,2025-03-27 21:00:00+00:00
AUDCAD,long,2025-04-01 15:15:00+00:00,0.89892,0.89855,0.89992,2025-04-01 15:15:00+00:00,0.89855,sl,-37.000000000009244,2025-03-31 20:00:00+00:00,0.89725,0.89744,2025-04-01 02:15:00+00:00,0.89855,0.89862,2025-04-01 15:00:00+00:00
AUDCAD,short,2025-04-03 14:45:00+00:00,0.8957,0.89668,0.8947,2025-04-03 14:45:00+00:00,0.8947,tp,100.00000000000009,2025-04-03 00:00:00+00:00,0.89538,0.90095,2025-04-03 10:45:00+00:00,0.89619,0.89668,2025-04-03 14:30:00+00:00
AUDCAD,short,2025-04-08 03:30:00+00:00,0.85384,0.85423,0.85284,2025-04-08 03:45:00+00:00,0.85423,sl,-39.00000000000014,2025-04-07 16:00:00+00:00,0.85189,0.85387,2025-04-08 00:45:00+00:00,0.85419,0.85423,2025-04-08 03:15:00+00:00
AUDCAD,long,2025-04-11 06:30:00+00:00,0.86619,0.86543,0.86719,2025-04-11 06:30:00+00:00,0.86543,sl,-75.99999999999828,2025-04-09 20:00:00+00:00,0.85657,0.86369,2025-04-11 05:30:00+00:00,0.86543,0.86557,2025-04-11 06:15:00+00:00
AUDCAD,long,2025-04-16 14:45:00+00:00,0.88549,0.88481,0.88649,2025-04-16 15:45:00+00:00,0.88649,tp,100.00000000000009,2025-04-15 16:00:00+00:00,0.88277,0.88587,2025-04-16 02:00:00+00:00,0.88481,0.88501,2025-04-16 14:30:00+00:00
AUDCAD,long,2025-04-17 02:30:00+00:00,0.88242,0.88207,0.88342,2025-04-17 02:45:00+00:00,0.88207,sl,-34.99999999999614,2025-04-15 16:00:00+00:00,0.88277,0.88587,2025-04-17 01:45:00+00:00,0.88207,0.88216,2025-04-17 02:15:00+00:00
AUDCAD,long,2025-04-21 07:00:00+00:00,0.88577,0.88532,0.88677,2025-04-21 07:30:00+00:00,0.88677,tp,100.00000000000009,2025-04-21 04:00:00+00:00,0.88353,0.88476,2025-04-21 05:15:00+00:00,0.88532,0.88553,2025-04-21 06:45:00+00:00
AUDCAD,long,2025-04-23 12:30:00+00:00,0.88642,0.88498,0.88742,2025-04-23 12:30:00+00:00,0.88742,tp,100.00000000000009,2025-04-23 04:00:00+00:00,0.88288,0.88404,2025-04-23 06:15:00+00:00,0.88498,0.88585,2025-04-23 12:15:00+00:00
AUDCAD,short,2025-04-29 18:15:00+00:00,0.88404,0.88441,0.88304,2025-04-29 19:45:00+00:00,0.88304,tp,100.00000000000009,2025-04-29 16:00:00+00:00,0.88526,0.88592,2025-04-29 17:30:00+00:00,0.88434,0.88441,2025-04-29 18:00:00+00:00
AUDCAD,long,2025-04-30 10:30:00+00:00,0.88436,0.88428,0.88536,2025-04-30 10:30:00+00:00,0.88428,sl,-8.000000000008,2025-04-30 04:00:00+00:00,0.88335,0.88395,2025-04-30 08:45:00+00:00,0.88428,0.88429,2025-04-30 10:15:00+00:00
AUDCAD,long,2025-05-01 23:45:00+00:00,0.88411,0.88391,0.88511,2025-05-01 23:45:00+00:00,0.88415,sl,4.000000000004,2025-04-30 04:00:00+00:00,0.88335,0.88395,2025-05-01 02:15:00+00:00,0.88391,0.88395,2025-05-01 23:30:00+00:00
AUDCAD,long,2025-05-02 14:15:00+00:00,0.89061,0.88963,0.89161,2025-05-02 15:15:00+00:00,0.88963,sl,-97.99999999999808,2025-05-02 12:00:00+00:00,0.88679,0.88719,2025-05-02 12:45:00+00:00,0.88963,0.89021,2025-05-02 14:00:00+00:00
AUDCAD,short,2025-05-07 21:00:00+00:00,0.88825,0.88969,0.88725,2025-05-07 23:45:00+00:00,0.88955,sl,-129.9999999999968,2025-05-07 16:00:00+00:00,0.89155,0.89195,2025-05-07 19:15:00+00:00,0.88893,0.88969,2025-05-07 20:45:00+00:00
AUDCAD,short,2025-05-08 16:00:00+00:00,0.89235,0.89255,0.89135,2025-05-08 17:30:00+00:00,0.89135,tp,100.00000000000009,2025-05-07 16:00:00+00:00,0.89155,0.89195,2025-05-08 04:15:00+00:00,0.89237,0.89255,2025-05-08 15:45:00+00:00
AUDCAD,short,2025-05-09 12:30:00+00:00,0.89088,0.89148,0.88988,2025-05-09 12:30:00+00:00,0.89148,sl,-60.00000000000449,2025-05-07 16:00:00+00:00,0.89155,0.89195,2025-05-09 05:15:00+00:00,0.89128,0.89148,2025-05-09 12:15:00+00:00
AUDCAD,long,2025-05-19 23:15:00+00:00,0.90087,0.90052,0.90187,2025-05-19 23:45:00+00:00,0.90074,sl,-12.999999999996346,2025-05-19 16:00:00+00:00,0.8997,0.89978,2025-05-19 20:00:00+00:00,0.90052,0.90072,2025-05-19 23:00:00+00:00
AUDCAD,short,2025-05-20 16:45:00+00:00,0.89368,0.89376,0.89268,2025-05-20 16:45:00+00:00,0.89376,sl,-7.999999999996898,2025-05-20 12:00:00+00:00,0.89435,0.89445,2025-05-20 12:15:00+00:00,0.89371,0.89376,2025-05-20 16:30:00+00:00
AUDCAD,short,2025-05-21 22:00:00+00:00,0.89118,0.89153,0.89018,2025-05-21 22:00:00+00:00,0.89153,sl,-35.00000000000725,2025-05-21 20:00:00+00:00,0.89202,0.89276,2025-05-21 21:00:00+00:00,0.89138,0.89153,2025-05-21 21:45:00+00:00
AUDCAD,short,2025-05-22 14:45:00+00:00,0.89038,0.8908,0.88938,2025-05-22 14:45:00+00:00,0.88938,tp,100.00000000000009,2025-05-22 12:00:00+00:00,0.89133,0.89163,2025-05-22 13:30:00+00:00,0.89057,0.8908,2025-05-22 14:30:00+00:00
AUDCAD,short,2025-05-29 14:45:00+00:00,0.88915,0.88968,0.88815,2025-05-29 14:45:00+00:00,0.88968,sl,-53.00000000000304,2025-05-28 16:00:00+00:00,0.88894,0.88971,2025-05-29 05:15:00+00:00,0.88949,0.88968,2025-05-29 14:30:00+00:00
AUDCAD,short,2025-05-30 05:15:00+00:00,0.88862,0.88891,0.88762,2025-05-30 05:30:00+00:00,0.88891,sl,-29.000000000001243,2025-05-28 16:00:00+00:00,0.88894,0.88971,2025-05-30 01:45:00+00:00,0.88864,0.88891,2025-05-30 05:00:00+00:00
AUDCAD,long,2025-06-09 16:30:00+00:00,0.89185,0.89174,0.89285,2025-06-09 16:30:00+00:00,0.89174,sl,-11.000000000005448,2025-06-09 04:00:00+00:00,0.89019,0.89084,2025-06-09 08:00:00+00:00,0.89174,0.89176,2025-06-09 16:15:00+00:00
AUDCAD,long,2025-06-10 19:00:00+00:00,0.8924,0.89216,0.8934,2025-06-10 19:45:00+00:00,0.89216,sl,-24.000000000001794,2025-06-09 04:00:00+00:00,0.89019,0.89084,2025-06-10 08:45:00+00:00,0.89216,0.89233,2025-06-10 18:45:00+00:00
AUDCAD,long,2025-06-17 08:30:00+00:00,0.88718,0.88682,0.88818,2025-06-17 08:30:00+00:00,0.88682,sl,-35.999999999991594,2025-06-17 04:00:00+00:00,0.8859,0.88595,2025-06-17 06:15:00+00:00,0.88682,0.88683,2025-06-17 08:15:00+00:00
AUDCAD,short,2025-06-20 07:00:00+00:00,0.88752,0.88788,0.88652,2025-06-20 07:00:00+00:00,0.88788,sl,-36.00000000000269,2025-06-19 08:00:00+00:00,0.88784,0.88796,2025-06-20 01:15:00+00:00,0.88778,0.88788,2025-06-20 06:45:00+00:00
AUDCAD,long,2025-06-30 22:45:00+00:00,0.89558,0.89539,0.89658,2025-06-30 22:45:00+00:00,0.89539,sl,-19.00000000000235,2025-06-30 16:00:00+00:00,0.89416,0.89482,2025-06-30 17:00:00+00:00,0.89539,0.89542,2025-06-30 22:30:00+00:00
AUDCAD,long,2025-07-01 04:15:00+00:00,0.89406,0.89346,0.89506,2025-07-01 05:30:00+00:00,0.89506,tp,100.00000000000009,2025-06-30 16:00:00+00:00,0.89416,0.89482,2025-07-01 03:00:00+00:00,0.89346,0.89357,2025-07-01 04:00:00+00:00
AUDCAD,short,2025-07-07 11:45:00+00:00,0.88809,0.88833,0.88709,2025-07-07 12:00:00+00:00,0.88709,tp,100.00000000000009,2025-07-07 04:00:00+00:00,0.88912,0.88975,2025-07-07 09:00:00+00:00,0.88814,0.88833,2025-07-07 11:30:00+00:00
AUDCAD,short,2025-07-14 21:00:00+00:00,0.89655,0.89683,0.89555,2025-07-14 21:00:00+00:00,0.89683,sl,-28.000000000005794,2025-07-14 16:00:00+00:00,0.89737,0.89763,2025-07-14 19:15:00+00:00,0.89678,0.89683,2025-07-14 20:45:00+00:00
AUDCAD,short,2025-07-16 06:00:00+00:00,0.89465,0.89502,0.8936499999999999,2025-07-16 06:00:00+00:00,0.89502,sl,-37.000000000009244,2025-07-15 16:00:00+00:00,0.89421,0.89788,2025-07-16 03:45:00+00:00,0.89487,0.89502,2025-07-16 05:45:00+00:00
AUDCAD,long,2025-07-23 06:45:00+00:00,0.89321,0.89283,0.89421,2025-07-23 08:30:00+00:00,0.89421,tp,100.00000000000009,2025-07-23 04:00:00+00:00,0.89178,0.89229,2025-07-23 04:45:00+00:00,0.89283,0.89287,2025-07-23 06:30:00+00:00
AUDCAD,long,2025-07-24 09:15:00+00:00,0.90027,0.89995,0.90127,2025-07-24 10:30:00+00:00,0.89995,sl,-31.999999999998693,2025-07-24 04:00:00+00:00,0.89805,0.89923,2025-07-24 05:00:00+00:00,0.89995,0.9,2025-07-24 09:00:00+00:00
AUDCAD,long,2025-07-25 14:30:00+00:00,0.89905,0.89872,0.90005,2025-07-25 14:30:00+00:00,0.89872,sl,-33.000000000005244,2025-07-24 04:00:00+00:00,0.89805,0.89923,2025-07-25 04:00:00+00:00,0.89872,0.89878,2025-07-25 14:15:00+00:00
AUDCAD,short,2025-07-28 21:00:00+00:00,0.89535,0.89587,0.89435,2025-07-28 21:00:00+00:00,0.89435,tp,100.00000000000009,2025-07-28 08:00:00+00:00,0.89655,0.89914,2025-07-28 13:30:00+00:00,0.89571,0.89587,2025-07-28 20:45:00+00:00
AUDCAD,short,2025-07-29 08:30:00+00:00,0.89478,0.89611,0.89378,2025-07-29 14:45:00+00:00,0.89611,sl,-132.99999999999423,2025-07-28 08:00:00+00:00,0.89655,0.89914,2025-07-29 06:45:00+00:00,0.895,0.89611,2025-07-29 08:15:00+00:00
AUDCAD,short,2025-08-01 16:30:00+00:00,0.89059,0.8911,0.88959,2025-08-01 17:00:00+00:00,0.88959,tp,100.00000000000009,2025-07-31 16:00:00+00:00,0.89091,0.89109,2025-08-01 01:45:00+00:00,0.89093,0.8911,2025-08-01 16:15:00+00:00
AUDCAD,short,2025-08-05 06:00:00+00:00,0.89058,0.89093,0.88958,2025-08-05 06:15:00+00:00,0.89093,sl,-34.99999999999614,2025-08-04 16:00:00+00:00,0.89084,0.89173,2025-08-05 01:15:00+00:00,0.89084,0.89093,2025-08-05 05:45:00+00:00
AUDCAD,long,2025-08-06 18:30:00+00:00,0.89379,0.89341,0.89479,2025-08-06 20:00:00+00:00,0.89341,sl,-37.99999999999359,2025-08-06 04:00:00+00:00,0.89157,0.89298,2025-08-06 07:30:00+00:00,0.89341,0.89375,2025-08-06 18:15:00+00:00
AUDCAD,long,2025-08-07 18:30:00+00:00,0.89426,0.89385,0.8952600000000001,2025-08-07 18:45:00+00:00,0.89385,sl,-41.000000000002146,2025-08-07 08:00:00+00:00,0.8946,0.89527,2025-08-07 17:45:00+00:00,0.89385,0.89396,2025-08-07 18:15:00+00:00
AUDCAD,long,2025-08-08 05:00:00+00:00,0.89606,0.89564,0.89706,2025-08-08 07:00:00+00:00,0.89706,tp,100.00000000000009,2025-08-07 08:00:00+00:00,0.8946,0.89527,2025-08-08 02:15:00+00:00,0.89564,0.89589,2025-08-08 04:45:00+00:00
AUDCAD,short,2025-08-12 12:30:00+00:00,0.89499,0.89527,0.89399,2025-08-12 12:30:00+00:00,0.89527,sl,-28.000000000005794,2025-08-12 08:00:00+00:00,0.89598,0.89697,2025-08-12 09:45:00+00:00,0.89517,0.89527,2025-08-12 12:15:00+00:00
AUDCAD,long,2025-08-28 22:00:00+00:00,0.89766,0.89726,0.89866,2025-08-28 23:45:00+00:00,0.89801,sl,34.99999999999614,2025-08-27 16:00:00+00:00,0.89691,0.8973,2025-08-28 02:15:00+00:00,0.89726,0.89735,2025-08-28 21:45:00+00:00
