symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
AUDCHF,2025-02-19 08:00:00+00:00,2025-02-19 16:00:00+00:00,sell,2025-02-19 13:15:00+00:00,0.57389,2025-02-19 22:00:00+00:00,0.57189,TP,200.00000000000017
AUDCHF,2025-02-20 16:00:00+00:00,2025-02-21 00:00:00+00:00,sell,2025-02-20 19:00:00+00:00,0.57468,2025-02-21 17:00:00+00:00,0.57268,TP,200.00000000000017
AUDCHF,2025-02-25 16:00:00+00:00,2025-02-26 00:00:00+00:00,buy,2025-02-25 18:30:00+00:00,0.56623,2025-02-25 22:00:00+00:00,0.56523,SL,-100.00000000000009
AUDCHF,2025-02-26 20:00:00+00:00,2025-02-27 04:00:00+00:00,buy,2025-02-26 22:15:00+00:00,0.56386,2025-02-27 10:00:00+00:00,0.56586,TP,200.00000000000017
AUDCHF,2025-02-28 04:00:00+00:00,2025-02-28 12:00:00+00:00,buy,2025-02-28 10:30:00+00:00,0.56075,2025-02-28 14:30:00+00:00,0.55975,SL,-100.00000000000009
AUDCHF,2025-03-04 16:00:00+00:00,2025-03-05 00:00:00+00:00,buy,2025-03-04 21:00:00+00:00,0.55596,2025-03-04 22:00:00+00:00,0.55496,SL,-100.00000000000009
AUDCHF,2025-03-06 04:00:00+00:00,2025-03-06 12:00:00+00:00,sell,2025-03-06 07:15:00+00:00,0.56356,2025-03-06 09:15:00+00:00,0.56156,TP,200.00000000000017
AUDCHF,2025-03-10 08:00:00+00:00,2025-03-10 16:00:00+00:00,sell,2025-03-10 10:45:00+00:00,0.55434,2025-03-10 15:15:00+00:00,0.5553400000000001,SL,-100.00000000000009
AUDCHF,2025-03-11 04:00:00+00:00,2025-03-11 12:00:00+00:00,buy,2025-03-11 06:00:00+00:00,0.55161,2025-03-11 08:30:00+00:00,0.55361,TP,200.00000000000017
AUDCHF,2025-03-12 12:00:00+00:00,2025-03-12 20:00:00+00:00,buy,2025-03-12 14:00:00+00:00,0.55582,2025-03-12 14:30:00+00:00,0.55482,SL,-100.00000000000009
AUDCHF,2025-03-18 00:00:00+00:00,2025-03-18 08:00:00+00:00,sell,2025-03-18 02:00:00+00:00,0.56221,2025-03-18 10:45:00+00:00,0.56021,TP,200.00000000000017
AUDCHF,2025-03-20 00:00:00+00:00,2025-03-20 08:00:00+00:00,sell,2025-03-20 02:30:00+00:00,0.55522,2025-03-20 04:45:00+00:00,0.55622,SL,-100.00000000000009
AUDCHF,2025-03-25 12:00:00+00:00,2025-03-25 20:00:00+00:00,sell,2025-03-25 14:45:00+00:00,0.55617,2025-03-26 03:00:00+00:00,0.55717,SL,-100.00000000000009
AUDCHF,2025-03-26 12:00:00+00:00,2025-03-26 20:00:00+00:00,sell,2025-03-26 15:15:00+00:00,0.55765,2025-03-26 21:00:00+00:00,0.55565,TP,200.00000000000017
AUDCHF,2025-03-27 12:00:00+00:00,2025-03-27 20:00:00+00:00,sell,2025-03-27 15:15:00+00:00,0.55584,2025-03-28 14:30:00+00:00,0.55384,TP,200.00000000000017
AUDCHF,2025-03-28 04:00:00+00:00,2025-03-28 12:00:00+00:00,buy,2025-03-28 06:00:00+00:00,0.55477,2025-03-28 13:30:00+00:00,0.55677,TP,200.00000000000017
AUDCHF,2025-03-30 20:00:00+00:00,2025-03-31 04:00:00+00:00,buy,2025-03-30 23:30:00+00:00,0.55302,2025-03-31 00:30:00+00:00,0.55202,SL,-100.00000000000009
AUDCHF,2025-04-02 08:00:00+00:00,2025-04-02 16:00:00+00:00,sell,2025-04-02 13:45:00+00:00,0.55623,2025-04-02 20:00:00+00:00,0.55723,SL,-100.00000000000009
AUDCHF,2025-04-03 20:00:00+00:00,2025-04-04 04:00:00+00:00,buy,2025-04-03 23:45:00+00:00,0.54342,2025-04-04 00:45:00+00:00,0.54242,SL,-100.00000000000009
AUDCHF,2025-04-08 08:00:00+00:00,2025-04-08 16:00:00+00:00,sell,2025-04-08 12:00:00+00:00,0.51687,2025-04-08 13:00:00+00:00,0.51787,SL,-100.00000000000009
AUDCHF,2025-04-09 04:00:00+00:00,2025-04-09 12:00:00+00:00,buy,2025-04-09 10:15:00+00:00,0.50662,2025-04-09 10:45:00+00:00,0.50862,TP,200.00000000000017
AUDCHF,2025-04-11 08:00:00+00:00,2025-04-11 16:00:00+00:00,buy,2025-04-11 13:30:00+00:00,0.50991,2025-04-11 13:45:00+00:00,0.50891,SL,-100.00000000000009
AUDCHF,2025-04-15 08:00:00+00:00,2025-04-15 16:00:00+00:00,sell,2025-04-15 10:15:00+00:00,0.51744,2025-04-15 11:00:00+00:00,0.51844,SL,-100.00000000000009
AUDCHF,2025-04-16 08:00:00+00:00,2025-04-16 16:00:00+00:00,buy,2025-04-16 10:45:00+00:00,0.52104,2025-04-16 11:45:00+00:00,0.52004,SL,-100.00000000000009
AUDCHF,2025-04-20 20:00:00+00:00,2025-04-21 04:00:00+00:00,buy,2025-04-21 03:00:00+00:00,0.5181,2025-04-21 08:00:00+00:00,0.5171,SL,-100.00000000000009
AUDCHF,2025-04-22 08:00:00+00:00,2025-04-22 16:00:00+00:00,sell,2025-04-22 11:30:00+00:00,0.51865,2025-04-22 12:45:00+00:00,0.5196500000000001,SL,-100.00000000000009
AUDCHF,2025-04-23 08:00:00+00:00,2025-04-23 16:00:00+00:00,sell,2025-04-23 15:00:00+00:00,0.52911,2025-04-23 15:15:00+00:00,0.52711,TP,200.00000000000017
AUDCHF,2025-04-25 04:00:00+00:00,2025-04-25 12:00:00+00:00,sell,2025-04-25 07:00:00+00:00,0.5318,2025-04-25 09:00:00+00:00,0.5298,TP,200.00000000000017
AUDCHF,2025-04-30 00:00:00+00:00,2025-04-30 08:00:00+00:00,buy,2025-04-30 03:45:00+00:00,0.52713,2025-04-30 12:15:00+00:00,0.52613,SL,-100.00000000000009
AUDCHF,2025-05-01 04:00:00+00:00,2025-05-01 12:00:00+00:00,sell,2025-05-01 07:00:00+00:00,0.52882,2025-05-01 14:00:00+00:00,0.52982,SL,-100.00000000000009
AUDCHF,2025-05-05 08:00:00+00:00,2025-05-05 16:00:00+00:00,sell,2025-05-05 10:15:00+00:00,0.53395,2025-05-05 14:00:00+00:00,0.53195,TP,200.00000000000017
AUDCHF,2025-05-06 00:00:00+00:00,2025-05-06 08:00:00+00:00,buy,2025-05-06 03:30:00+00:00,0.53157,2025-05-06 14:00:00+00:00,0.53357,TP,200.00000000000017
AUDCHF,2025-05-06 16:00:00+00:00,2025-05-07 00:00:00+00:00,sell,2025-05-06 20:15:00+00:00,0.53362,2025-05-06 22:00:00+00:00,0.53462,SL,-100.00000000000009
AUDCHF,2025-05-07 20:00:00+00:00,2025-05-08 04:00:00+00:00,buy,2025-05-07 22:00:00+00:00,0.52912,2025-05-08 01:00:00+00:00,0.53112,TP,200.00000000000017
AUDCHF,2025-05-12 08:00:00+00:00,2025-05-12 16:00:00+00:00,sell,2025-05-12 11:00:00+00:00,0.5395,2025-05-12 14:00:00+00:00,0.5375,TP,200.00000000000017
AUDCHF,2025-05-14 04:00:00+00:00,2025-05-14 12:00:00+00:00,buy,2025-05-14 07:45:00+00:00,0.54379,2025-05-14 08:00:00+00:00,0.54279,SL,-100.00000000000009
AUDCHF,2025-05-16 00:00:00+00:00,2025-05-16 08:00:00+00:00,buy,2025-05-16 02:30:00+00:00,0.53495,2025-05-16 08:45:00+00:00,0.53695,TP,200.00000000000017
AUDCHF,2025-05-20 00:00:00+00:00,2025-05-20 08:00:00+00:00,sell,2025-05-20 07:15:00+00:00,0.53446,2025-05-20 14:00:00+00:00,0.53246,TP,200.00000000000017
AUDCHF,2025-05-21 04:00:00+00:00,2025-05-21 12:00:00+00:00,buy,2025-05-21 11:00:00+00:00,0.5313,2025-05-21 15:15:00+00:00,0.5333,TP,200.00000000000017
AUDCHF,2025-05-26 04:00:00+00:00,2025-05-26 12:00:00+00:00,sell,2025-05-26 06:45:00+00:00,0.53506,2025-05-26 14:30:00+00:00,0.53306,TP,200.00000000000017
AUDCHF,2025-05-27 04:00:00+00:00,2025-05-27 12:00:00+00:00,buy,2025-05-27 08:15:00+00:00,0.53247,2025-05-27 21:00:00+00:00,0.53147,SL,-100.00000000000009
AUDCHF,2025-05-28 04:00:00+00:00,2025-05-28 12:00:00+00:00,sell,2025-05-28 06:00:00+00:00,0.5323,2025-05-28 08:15:00+00:00,0.5333,SL,-100.00000000000009
AUDCHF,2025-05-29 08:00:00+00:00,2025-05-29 16:00:00+00:00,sell,2025-05-29 10:00:00+00:00,0.53387,2025-05-29 13:00:00+00:00,0.53187,TP,200.00000000000017
AUDCHF,2025-05-30 08:00:00+00:00,2025-05-30 16:00:00+00:00,buy,2025-05-30 14:00:00+00:00,0.52829,2025-05-30 19:45:00+00:00,0.53029,TP,200.00000000000017
