symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
AUDJPY,2025-02-19 16:00:00+00:00,2025-02-20 00:00:00+00:00,buy,2025-02-19 19:30:00+00:00,96.208,2025-02-19 21:45:00+00:00,96.108,SL,-99.99999999999432
AUDJPY,2025-02-20 08:00:00+00:00,2025-02-20 16:00:00+00:00,buy,2025-02-20 13:30:00+00:00,95.654,2025-02-20 15:00:00+00:00,95.554,SL,-99.99999999999432
AUDJPY,2025-02-24 12:00:00+00:00,2025-02-24 20:00:00+00:00,sell,2025-02-24 14:00:00+00:00,95.339,2025-02-24 14:30:00+00:00,95.139,TP,200.00000000000284
AUDJPY,2025-02-28 04:00:00+00:00,2025-02-28 12:00:00+00:00,buy,2025-02-28 07:15:00+00:00,93.184,2025-02-28 07:30:00+00:00,93.384,TP,200.00000000000284
AUDJPY,2025-03-04 04:00:00+00:00,2025-03-04 12:00:00+00:00,buy,2025-03-04 07:30:00+00:00,92.86,2025-03-04 07:45:00+00:00,92.76,SL,-99.99999999999432
AUDJPY,2025-03-06 04:00:00+00:00,2025-03-06 12:00:00+00:00,sell,2025-03-06 10:30:00+00:00,93.649,2025-03-06 11:00:00+00:00,93.449,TP,200.00000000000284
AUDJPY,2025-03-11 04:00:00+00:00,2025-03-11 12:00:00+00:00,buy,2025-03-11 08:00:00+00:00,92.456,2025-03-11 08:45:00+00:00,92.656,TP,200.00000000000284
AUDJPY,2025-03-13 00:00:00+00:00,2025-03-13 08:00:00+00:00,sell,2025-03-13 02:15:00+00:00,93.693,2025-03-13 03:45:00+00:00,93.493,TP,200.00000000000284
AUDJPY,2025-03-13 20:00:00+00:00,2025-03-14 04:00:00+00:00,buy,2025-03-13 22:00:00+00:00,92.951,2025-03-14 00:30:00+00:00,93.151,TP,200.00000000000284
AUDJPY,2025-03-18 08:00:00+00:00,2025-03-18 16:00:00+00:00,sell,2025-03-18 13:30:00+00:00,95.14,2025-03-18 13:45:00+00:00,95.24,SL,-99.99999999999432
AUDJPY,2025-03-20 12:00:00+00:00,2025-03-20 20:00:00+00:00,buy,2025-03-20 17:00:00+00:00,93.724,2025-03-20 17:15:00+00:00,93.62400000000001,SL,-99.99999999999432
AUDJPY,2025-03-25 00:00:00+00:00,2025-03-25 08:00:00+00:00,sell,2025-03-25 03:15:00+00:00,94.717,2025-03-25 09:45:00+00:00,94.817,SL,-99.99999999999432
AUDJPY,2025-03-26 08:00:00+00:00,2025-03-26 16:00:00+00:00,sell,2025-03-26 11:15:00+00:00,94.993,2025-03-26 15:00:00+00:00,95.09299999999999,SL,-99.99999999999432
AUDJPY,2025-03-27 12:00:00+00:00,2025-03-27 20:00:00+00:00,sell,2025-03-27 16:45:00+00:00,95.176,2025-03-27 17:00:00+00:00,95.276,SL,-99.99999999999432
AUDJPY,2025-03-28 08:00:00+00:00,2025-03-28 16:00:00+00:00,buy,2025-03-28 10:00:00+00:00,94.857,2025-03-28 13:00:00+00:00,95.057,TP,200.00000000000284
AUDJPY,2025-03-31 12:00:00+00:00,2025-03-31 20:00:00+00:00,buy,2025-03-31 14:00:00+00:00,93.309,2025-03-31 14:15:00+00:00,93.209,SL,-99.99999999999432
AUDJPY,2025-04-01 12:00:00+00:00,2025-04-01 20:00:00+00:00,buy,2025-04-01 14:30:00+00:00,93.627,2025-04-01 15:00:00+00:00,93.827,TP,200.00000000000284
AUDJPY,2025-04-02 08:00:00+00:00,2025-04-02 16:00:00+00:00,sell,2025-04-02 13:15:00+00:00,93.975,2025-04-02 13:30:00+00:00,94.07499999999999,SL,-99.99999999999432
AUDJPY,2025-04-03 04:00:00+00:00,2025-04-03 12:00:00+00:00,buy,2025-04-03 06:15:00+00:00,92.653,2025-04-03 06:45:00+00:00,92.85300000000001,TP,200.00000000000284
AUDJPY,2025-04-08 08:00:00+00:00,2025-04-08 16:00:00+00:00,sell,2025-04-08 14:30:00+00:00,89.138,2025-04-08 14:45:00+00:00,88.938,TP,200.00000000000284
AUDJPY,2025-04-09 04:00:00+00:00,2025-04-09 12:00:00+00:00,buy,2025-04-09 07:00:00+00:00,87.013,2025-04-09 07:15:00+00:00,87.21300000000001,TP,200.00000000000284
AUDJPY,2025-04-10 16:00:00+00:00,2025-04-11 00:00:00+00:00,buy,2025-04-10 20:00:00+00:00,90.146,2025-04-10 20:15:00+00:00,90.046,SL,-99.99999999999432
AUDJPY,2025-04-11 08:00:00+00:00,2025-04-11 16:00:00+00:00,buy,2025-04-11 12:15:00+00:00,89.192,2025-04-11 12:30:00+00:00,89.092,SL,-99.99999999999432
AUDJPY,2025-04-16 08:00:00+00:00,2025-04-16 16:00:00+00:00,buy,2025-04-16 10:45:00+00:00,90.941,2025-04-16 12:00:00+00:00,90.84100000000001,SL,-99.99999999999432
AUDJPY,2025-04-18 08:00:00+00:00,2025-04-18 16:00:00+00:00,buy,2025-04-18 10:30:00+00:00,90.753,2025-04-18 13:30:00+00:00,90.653,SL,-99.99999999999432
AUDJPY,2025-04-20 20:00:00+00:00,2025-04-21 04:00:00+00:00,buy,2025-04-20 23:30:00+00:00,90.467,2025-04-21 00:30:00+00:00,90.367,SL,-99.99999999999432
AUDJPY,2025-04-22 12:00:00+00:00,2025-04-22 20:00:00+00:00,buy,2025-04-22 15:00:00+00:00,89.972,2025-04-22 15:30:00+00:00,89.872,SL,-99.99999999999432
AUDJPY,2025-04-25 04:00:00+00:00,2025-04-25 12:00:00+00:00,sell,2025-04-25 07:00:00+00:00,91.787,2025-04-25 08:00:00+00:00,91.587,TP,200.00000000000284
AUDJPY,2025-04-29 04:00:00+00:00,2025-04-29 12:00:00+00:00,buy,2025-04-29 06:00:00+00:00,91.461,2025-04-29 10:45:00+00:00,91.361,SL,-99.99999999999432
AUDJPY,2025-04-30 12:00:00+00:00,2025-04-30 20:00:00+00:00,sell,2025-04-30 19:15:00+00:00,91.438,2025-04-30 19:45:00+00:00,91.538,SL,-99.99999999999432
AUDJPY,2025-05-01 20:00:00+00:00,2025-05-02 04:00:00+00:00,sell,2025-05-01 22:30:00+00:00,92.729,2025-05-01 23:00:00+00:00,92.829,SL,-99.99999999999432
