symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
AUDNZD,2025-02-19 08:00:00+00:00,2025-02-19 16:00:00+00:00,buy,2025-02-19 10:00:00+00:00,1.111,2025-02-19 20:45:00+00:00,1.113,TP,200.00000000000017
AUDNZD,2025-02-21 08:00:00+00:00,2025-02-21 16:00:00+00:00,buy,2025-02-21 11:00:00+00:00,1.10922,2025-02-21 14:45:00+00:00,1.1082200000000002,SL,-99.99999999998897
AUDNZD,2025-02-23 20:00:00+00:00,2025-02-24 04:00:00+00:00,buy,2025-02-24 01:15:00+00:00,1.1078,2025-02-24 14:45:00+00:00,1.1068,SL,-99.99999999998897
AUDNZD,2025-03-06 12:00:00+00:00,2025-03-06 20:00:00+00:00,buy,2025-03-06 14:15:00+00:00,1.10399,2025-03-06 22:00:00+00:00,1.1029900000000001,SL,-99.99999999998897
AUDNZD,2025-03-10 16:00:00+00:00,2025-03-11 00:00:00+00:00,buy,2025-03-10 18:00:00+00:00,1.10119,2025-03-10 21:00:00+00:00,1.10019,SL,-99.99999999998897
AUDNZD,2025-03-13 00:00:00+00:00,2025-03-13 08:00:00+00:00,sell,2025-03-13 02:15:00+00:00,1.10232,2025-03-13 10:15:00+00:00,1.1033199999999999,SL,-99.99999999998897
AUDNZD,2025-03-16 20:00:00+00:00,2025-03-17 04:00:00+00:00,buy,2025-03-16 23:00:00+00:00,1.0996,2025-03-17 04:00:00+00:00,1.0986,SL,-99.99999999998897
AUDNZD,2025-03-18 04:00:00+00:00,2025-03-18 12:00:00+00:00,buy,2025-03-18 07:15:00+00:00,1.09558,2025-03-18 13:30:00+00:00,1.09458,SL,-99.99999999998897
AUDNZD,2025-03-19 00:00:00+00:00,2025-03-19 08:00:00+00:00,buy,2025-03-19 02:30:00+00:00,1.09402,2025-03-19 06:45:00+00:00,1.09302,SL,-99.99999999998897
AUDNZD,2025-03-20 12:00:00+00:00,2025-03-20 20:00:00+00:00,sell,2025-03-20 16:15:00+00:00,1.0955,2025-03-20 21:00:00+00:00,1.0935,TP,200.00000000000017
AUDNZD,2025-03-24 16:00:00+00:00,2025-03-25 00:00:00+00:00,sell,2025-03-24 18:45:00+00:00,1.09764,2025-03-24 21:00:00+00:00,1.09564,TP,200.00000000000017
AUDNZD,2025-03-27 04:00:00+00:00,2025-03-27 12:00:00+00:00,sell,2025-03-27 06:30:00+00:00,1.09872,2025-03-27 21:00:00+00:00,1.09672,TP,200.00000000000017
AUDNZD,2025-03-31 12:00:00+00:00,2025-03-31 20:00:00+00:00,buy,2025-03-31 14:00:00+00:00,1.10033,2025-03-31 21:00:00+00:00,1.0993300000000001,SL,-99.99999999998897
AUDNZD,2025-04-03 12:00:00+00:00,2025-04-03 20:00:00+00:00,buy,2025-04-03 15:15:00+00:00,1.09186,2025-04-03 21:00:00+00:00,1.0908600000000002,SL,-99.99999999998897
AUDNZD,2025-04-08 20:00:00+00:00,2025-04-09 04:00:00+00:00,buy,2025-04-09 00:30:00+00:00,1.07912,2025-04-09 01:00:00+00:00,1.0781200000000002,SL,-99.99999999998897
AUDNZD,2025-04-10 16:00:00+00:00,2025-04-11 00:00:00+00:00,buy,2025-04-10 19:45:00+00:00,1.08332,2025-04-10 21:00:00+00:00,1.0823200000000002,SL,-99.99999999998897
