symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
CADCHF,2025-02-19 20:00:00+00:00,2025-02-20 04:00:00+00:00,buy,2025-02-19 23:00:00+00:00,0.63499,2025-02-20 15:45:00+00:00,0.63399,SL,-100.00000000000009
CADCHF,2025-02-26 04:00:00+00:00,2025-02-26 12:00:00+00:00,buy,2025-02-26 09:00:00+00:00,0.6246,2025-02-26 13:30:00+00:00,0.6236,SL,-100.00000000000009
CADCHF,2025-02-27 12:00:00+00:00,2025-02-27 20:00:00+00:00,sell,2025-02-27 14:30:00+00:00,0.62338,2025-02-28 08:15:00+00:00,0.62438,SL,-100.00000000000009
CADCHF,2025-03-04 20:00:00+00:00,2025-03-05 04:00:00+00:00,buy,2025-03-04 23:00:00+00:00,0.61815,2025-03-05 00:30:00+00:00,0.61715,SL,-100.00000000000009
CADCHF,2025-03-06 04:00:00+00:00,2025-03-06 12:00:00+00:00,sell,2025-03-06 10:30:00+00:00,0.61798,2025-03-06 12:15:00+00:00,0.61598,TP,200.00000000000017
CADCHF,2025-03-11 04:00:00+00:00,2025-03-11 12:00:00+00:00,buy,2025-03-11 07:45:00+00:00,0.60967,2025-03-11 10:00:00+00:00,0.61167,TP,200.00000000000017
CADCHF,2025-03-12 08:00:00+00:00,2025-03-12 16:00:00+00:00,buy,2025-03-12 11:00:00+00:00,0.61217,2025-03-12 12:45:00+00:00,0.61417,TP,200.00000000000017
CADCHF,2025-03-13 00:00:00+00:00,2025-03-13 08:00:00+00:00,sell,2025-03-13 03:15:00+00:00,0.6129,2025-03-13 09:30:00+00:00,0.6139,SL,-100.00000000000009
CADCHF,2025-03-20 04:00:00+00:00,2025-03-20 12:00:00+00:00,buy,2025-03-20 08:15:00+00:00,0.61143,2025-03-20 08:30:00+00:00,0.61343,TP,200.00000000000017
CADCHF,2025-03-26 12:00:00+00:00,2025-03-26 20:00:00+00:00,sell,2025-03-26 14:15:00+00:00,0.61958,2025-03-26 15:00:00+00:00,0.62058,SL,-100.00000000000009
CADCHF,2025-03-27 08:00:00+00:00,2025-03-27 16:00:00+00:00,buy,2025-03-27 11:30:00+00:00,0.61901,2025-03-27 12:00:00+00:00,0.61801,SL,-100.00000000000009
CADCHF,2025-04-01 12:00:00+00:00,2025-04-01 20:00:00+00:00,buy,2025-04-01 14:15:00+00:00,0.6134,2025-04-01 14:45:00+00:00,0.6154,TP,200.00000000000017
CADCHF,2025-04-03 12:00:00+00:00,2025-04-03 20:00:00+00:00,buy,2025-04-03 14:00:00+00:00,0.61032,2025-04-03 14:30:00+00:00,0.60932,SL,-100.00000000000009
CADCHF,2025-04-08 08:00:00+00:00,2025-04-08 16:00:00+00:00,sell,2025-04-08 11:45:00+00:00,0.6027,2025-04-08 13:45:00+00:00,0.6037,SL,-100.00000000000009
CADCHF,2025-04-09 04:00:00+00:00,2025-04-09 12:00:00+00:00,buy,2025-04-09 06:00:00+00:00,0.59342,2025-04-09 06:15:00+00:00,0.59242,SL,-100.00000000000009
CADCHF,2025-04-11 04:00:00+00:00,2025-04-11 12:00:00+00:00,buy,2025-04-11 09:00:00+00:00,0.58713,2025-04-11 09:15:00+00:00,0.58613,SL,-100.00000000000009
CADCHF,2025-04-14 08:00:00+00:00,2025-04-14 16:00:00+00:00,sell,2025-04-14 10:15:00+00:00,0.59005,2025-04-14 11:00:00+00:00,0.59105,SL,-100.00000000000009
CADCHF,2025-04-15 04:00:00+00:00,2025-04-15 12:00:00+00:00,sell,2025-04-15 07:45:00+00:00,0.58853,2025-04-15 12:30:00+00:00,0.58653,TP,200.00000000000017
CADCHF,2025-04-17 08:00:00+00:00,2025-04-17 16:00:00+00:00,sell,2025-04-17 11:00:00+00:00,0.58798,2025-04-17 12:00:00+00:00,0.58898,SL,-100.00000000000009
CADCHF,2025-04-18 08:00:00+00:00,2025-04-18 16:00:00+00:00,buy,2025-04-18 10:45:00+00:00,0.59071,2025-04-18 11:00:00+00:00,0.58971,SL,-100.00000000000009
CADCHF,2025-04-22 08:00:00+00:00,2025-04-22 16:00:00+00:00,sell,2025-04-22 10:00:00+00:00,0.58584,2025-04-22 10:30:00+00:00,0.58684,SL,-100.00000000000009
CADCHF,2025-04-23 00:00:00+00:00,2025-04-23 08:00:00+00:00,sell,2025-04-23 02:45:00+00:00,0.59415,2025-04-23 03:45:00+00:00,0.59515,SL,-100.00000000000009
CADCHF,2025-04-24 00:00:00+00:00,2025-04-24 08:00:00+00:00,sell,2025-04-24 04:15:00+00:00,0.5973,2025-04-24 10:15:00+00:00,0.5953,TP,200.00000000000017
CADCHF,2025-04-25 04:00:00+00:00,2025-04-25 12:00:00+00:00,sell,2025-04-25 07:00:00+00:00,0.5989,2025-04-25 10:45:00+00:00,0.5969,TP,200.00000000000017
CADCHF,2025-04-27 20:00:00+00:00,2025-04-28 04:00:00+00:00,buy,2025-04-28 01:15:00+00:00,0.5969,2025-04-28 07:45:00+00:00,0.5989,TP,200.00000000000017
CADCHF,2025-04-29 00:00:00+00:00,2025-04-29 08:00:00+00:00,buy,2025-04-29 06:30:00+00:00,0.59493,2025-04-29 14:00:00+00:00,0.59393,SL,-100.00000000000009
CADCHF,2025-05-05 08:00:00+00:00,2025-05-05 16:00:00+00:00,sell,2025-05-05 10:15:00+00:00,0.59681,2025-05-05 14:00:00+00:00,0.59481,TP,200.00000000000017
CADCHF,2025-05-06 00:00:00+00:00,2025-05-06 08:00:00+00:00,buy,2025-05-06 03:00:00+00:00,0.59554,2025-05-06 09:45:00+00:00,0.59754,TP,200.00000000000017
CADCHF,2025-05-06 16:00:00+00:00,2025-05-07 00:00:00+00:00,sell,2025-05-06 20:15:00+00:00,0.59647,2025-05-06 22:00:00+00:00,0.59747,SL,-100.00000000000009
CADCHF,2025-05-07 20:00:00+00:00,2025-05-08 04:00:00+00:00,buy,2025-05-07 22:00:00+00:00,0.59493,2025-05-08 06:30:00+00:00,0.59693,TP,200.00000000000017
