symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
CHFJPY,2025-02-20 08:00:00+00:00,2025-02-20 16:00:00+00:00,buy,2025-02-20 11:45:00+00:00,166.486,2025-02-20 12:00:00+00:00,166.386,SL,-99.99999999999432
CHFJPY,2025-02-24 08:00:00+00:00,2025-02-24 16:00:00+00:00,sell,2025-02-24 11:15:00+00:00,166.409,2025-02-24 12:15:00+00:00,166.509,SL,-99.99999999999432
CHFJPY,2025-02-25 00:00:00+00:00,2025-02-25 08:00:00+00:00,sell,2025-02-25 07:00:00+00:00,166.782,2025-02-25 07:30:00+00:00,166.58200000000002,TP,199.99999999998863
CHFJPY,2025-02-27 16:00:00+00:00,2025-02-28 00:00:00+00:00,sell,2025-02-27 19:15:00+00:00,166.788,2025-02-27 19:30:00+00:00,166.58800000000002,TP,199.99999999998863
CHFJPY,2025-03-05 20:00:00+00:00,2025-03-06 04:00:00+00:00,buy,2025-03-05 23:30:00+00:00,167.184,2025-03-06 00:15:00+00:00,167.384,TP,199.99999999998863
CHFJPY,2025-03-07 00:00:00+00:00,2025-03-07 08:00:00+00:00,sell,2025-03-07 04:15:00+00:00,167.168,2025-03-07 04:30:00+00:00,167.268,SL,-99.99999999999432
CHFJPY,2025-03-11 04:00:00+00:00,2025-03-11 12:00:00+00:00,sell,2025-03-11 07:00:00+00:00,167.188,2025-03-11 07:15:00+00:00,167.28799999999998,SL,-99.99999999999432
CHFJPY,2025-03-13 16:00:00+00:00,2025-03-14 00:00:00+00:00,buy,2025-03-13 20:00:00+00:00,167.253,2025-03-13 20:30:00+00:00,167.45299999999997,TP,199.99999999998863
CHFJPY,2025-03-14 08:00:00+00:00,2025-03-14 16:00:00+00:00,sell,2025-03-14 10:00:00+00:00,168.291,2025-03-14 10:30:00+00:00,168.091,TP,199.99999999998863
CHFJPY,2025-03-17 08:00:00+00:00,2025-03-17 16:00:00+00:00,sell,2025-03-17 11:45:00+00:00,168.19,2025-03-17 12:00:00+00:00,168.29,SL,-99.99999999999432
