symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
EURAUD,2025-02-20 16:00:00+00:00,2025-02-21 00:00:00+00:00,buy,2025-02-20 21:30:00+00:00,1.64013,2025-02-20 22:00:00+00:00,1.6391300000000002,SL,-99.99999999998897
EURAUD,2025-02-25 00:00:00+00:00,2025-02-25 08:00:00+00:00,sell,2025-02-25 04:15:00+00:00,1.64836,2025-02-25 06:30:00+00:00,1.64936,SL,-99.99999999998897
EURAUD,2025-02-25 16:00:00+00:00,2025-02-26 00:00:00+00:00,sell,2025-02-25 18:30:00+00:00,1.65725,2025-02-26 00:45:00+00:00,1.6582499999999998,SL,-99.99999999998897
EURAUD,2025-02-28 08:00:00+00:00,2025-02-28 16:00:00+00:00,sell,2025-02-28 15:30:00+00:00,1.67523,2025-02-28 15:45:00+00:00,1.67323,TP,200.00000000000017
EURAUD,2025-03-11 16:00:00+00:00,2025-03-12 00:00:00+00:00,sell,2025-03-11 18:00:00+00:00,1.73813,2025-03-11 18:30:00+00:00,1.73613,TP,200.00000000000017
EURAUD,2025-03-13 00:00:00+00:00,2025-03-13 08:00:00+00:00,buy,2025-03-13 03:15:00+00:00,1.72302,2025-03-13 04:30:00+00:00,1.72502,TP,200.00000000000017
EURAUD,2025-03-13 16:00:00+00:00,2025-03-14 00:00:00+00:00,sell,2025-03-13 18:00:00+00:00,1.7273,2025-03-13 21:00:00+00:00,1.7253,TP,200.00000000000017
EURAUD,2025-03-16 20:00:00+00:00,2025-03-17 04:00:00+00:00,buy,2025-03-16 22:45:00+00:00,1.7198,2025-03-17 00:45:00+00:00,1.7188,SL,-99.99999999998897
EURAUD,2025-03-18 20:00:00+00:00,2025-03-19 04:00:00+00:00,sell,2025-03-18 22:45:00+00:00,1.71989,2025-03-19 00:45:00+00:00,1.71789,TP,200.00000000000017
EURAUD,2025-03-19 12:00:00+00:00,2025-03-19 20:00:00+00:00,sell,2025-03-19 14:00:00+00:00,1.72128,2025-03-19 14:45:00+00:00,1.71928,TP,200.00000000000017
EURAUD,2025-03-20 12:00:00+00:00,2025-03-20 20:00:00+00:00,sell,2025-03-20 15:45:00+00:00,1.72183,2025-03-20 16:00:00+00:00,1.7228299999999999,SL,-99.99999999998897
EURAUD,2025-03-24 16:00:00+00:00,2025-03-25 00:00:00+00:00,buy,2025-03-24 18:15:00+00:00,1.72097,2025-03-24 18:30:00+00:00,1.7199700000000002,SL,-99.99999999998897
EURAUD,2025-03-25 12:00:00+00:00,2025-03-25 20:00:00+00:00,buy,2025-03-25 14:00:00+00:00,1.71363,2025-03-25 14:15:00+00:00,1.71263,SL,-99.99999999998897
EURAUD,2025-03-26 08:00:00+00:00,2025-03-26 16:00:00+00:00,buy,2025-03-26 11:15:00+00:00,1.70605,2025-03-26 12:00:00+00:00,1.70805,TP,200.00000000000017
EURAUD,2025-03-27 08:00:00+00:00,2025-03-27 16:00:00+00:00,buy,2025-03-27 12:00:00+00:00,1.70881,2025-03-27 13:15:00+00:00,1.71081,TP,200.00000000000017
EURAUD,2025-03-28 04:00:00+00:00,2025-03-28 12:00:00+00:00,sell,2025-03-28 07:30:00+00:00,1.71464,2025-03-28 08:00:00+00:00,1.71264,TP,200.00000000000017
EURAUD,2025-03-31 16:00:00+00:00,2025-04-01 00:00:00+00:00,sell,2025-03-31 18:00:00+00:00,1.73121,2025-03-31 22:45:00+00:00,1.7322099999999998,SL,-99.99999999998897
EURAUD,2025-04-04 04:00:00+00:00,2025-04-04 12:00:00+00:00,sell,2025-04-04 07:30:00+00:00,1.77224,2025-04-04 08:00:00+00:00,1.77024,TP,200.00000000000017
EURAUD,2025-04-08 08:00:00+00:00,2025-04-08 16:00:00+00:00,buy,2025-04-08 10:45:00+00:00,1.80941,2025-04-08 11:00:00+00:00,1.81141,TP,200.00000000000017
EURAUD,2025-04-09 04:00:00+00:00,2025-04-09 12:00:00+00:00,sell,2025-04-09 08:45:00+00:00,1.83484,2025-04-09 09:00:00+00:00,1.83584,SL,-99.99999999998897
EURAUD,2025-04-10 16:00:00+00:00,2025-04-11 00:00:00+00:00,sell,2025-04-10 20:00:00+00:00,1.79701,2025-04-10 20:15:00+00:00,1.7980099999999999,SL,-99.99999999998897
EURAUD,2025-04-11 08:00:00+00:00,2025-04-11 16:00:00+00:00,sell,2025-04-11 12:15:00+00:00,1.81564,2025-04-11 12:30:00+00:00,1.8166399999999998,SL,-99.99999999998897
EURAUD,2025-04-15 16:00:00+00:00,2025-04-16 00:00:00+00:00,buy,2025-04-15 18:00:00+00:00,1.77622,2025-04-15 18:30:00+00:00,1.77522,SL,-99.99999999998897
EURAUD,2025-04-16 08:00:00+00:00,2025-04-16 16:00:00+00:00,sell,2025-04-16 10:45:00+00:00,1.78245,2025-04-16 11:00:00+00:00,1.78345,SL,-99.99999999998897
EURAUD,2025-04-18 00:00:00+00:00,2025-04-18 08:00:00+00:00,buy,2025-04-18 03:45:00+00:00,1.78334,2025-04-18 04:15:00+00:00,1.78234,SL,-99.99999999998897
EURAUD,2025-04-21 12:00:00+00:00,2025-04-21 20:00:00+00:00,sell,2025-04-21 17:15:00+00:00,1.79458,2025-04-21 17:30:00+00:00,1.79558,SL,-99.99999999998897
