symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
EURGBP,2025-02-21 04:00:00+00:00,2025-02-21 12:00:00+00:00,sell,2025-02-21 09:45:00+00:00,0.82756,2025-02-21 14:15:00+00:00,0.82856,SL,-100.00000000000009
EURGBP,2025-02-24 08:00:00+00:00,2025-02-24 16:00:00+00:00,sell,2025-02-24 10:15:00+00:00,0.82848,2025-02-24 15:45:00+00:00,0.82948,SL,-100.00000000000009
EURGBP,2025-02-26 04:00:00+00:00,2025-02-26 12:00:00+00:00,sell,2025-02-26 09:00:00+00:00,0.82965,2025-02-26 15:15:00+00:00,0.82765,TP,200.00000000000017
EURGBP,2025-02-27 16:00:00+00:00,2025-02-28 00:00:00+00:00,buy,2025-02-27 19:30:00+00:00,0.82522,2025-02-27 22:45:00+00:00,0.82422,SL,-100.00000000000009
EURGBP,2025-03-03 20:00:00+00:00,2025-03-04 04:00:00+00:00,buy,2025-03-03 23:00:00+00:00,0.82552,2025-03-04 11:45:00+00:00,0.82752,TP,200.00000000000017
EURGBP,2025-03-06 00:00:00+00:00,2025-03-06 08:00:00+00:00,sell,2025-03-06 07:45:00+00:00,0.83654,2025-03-06 08:00:00+00:00,0.83754,SL,-100.00000000000009
EURGBP,2025-03-11 16:00:00+00:00,2025-03-12 00:00:00+00:00,sell,2025-03-11 18:15:00+00:00,0.84436,2025-03-11 21:00:00+00:00,0.84236,TP,200.00000000000017
EURGBP,2025-03-14 00:00:00+00:00,2025-03-14 08:00:00+00:00,buy,2025-03-14 02:45:00+00:00,0.83771,2025-03-14 09:15:00+00:00,0.83971,TP,200.00000000000017
EURGBP,2025-03-16 20:00:00+00:00,2025-03-17 04:00:00+00:00,buy,2025-03-16 23:45:00+00:00,0.84155,2025-03-17 07:45:00+00:00,0.84055,SL,-100.00000000000009
EURGBP,2025-03-17 12:00:00+00:00,2025-03-17 20:00:00+00:00,buy,2025-03-17 14:00:00+00:00,0.84072,2025-03-18 09:00:00+00:00,0.84272,TP,200.00000000000017
EURGBP,2025-03-23 20:00:00+00:00,2025-03-24 04:00:00+00:00,buy,2025-03-24 03:15:00+00:00,0.83771,2025-03-24 09:15:00+00:00,0.83671,SL,-100.00000000000009
