time_utc,open,high,low,close,volume
2025-02-16 22:00:00+00:00,1.04858,1.04881,1.0485,1.04856,264.26999328285456
2025-02-16 22:15:00+00:00,1.04861,1.04872,1.04857,1.04863,66.50999835133553
2025-02-16 22:30:00+00:00,1.04869,1.04892,1.04854,1.04879,513.5399911999702
2025-02-16 22:45:00+00:00,1.04882,1.04893,1.04865,1.04878,188.36999714374542
2025-02-16 23:00:00+00:00,1.0488,1.04933,1.04861,1.0492,720.7199903726578
2025-02-16 23:15:00+00:00,1.04923,1.04938,1.04847,1.04859,428.4199948310852
2025-02-16 23:30:00+00:00,1.0486,1.0489,1.04848,1.04889,206.45999801158905
2025-02-16 23:45:00+00:00,1.0489,1.04909,1.04879,1.04883,176.09999855607748
2025-02-17 00:00:00+00:00,1.04886,1.04911,1.04855,1.04863,156.17999884486198
2025-02-17 00:15:00+00:00,1.04864,1.04891,1.04853,1.04869,390.2699946463108
2025-02-17 00:30:00+00:00,1.0487,1.04905,1.04866,1.04893,325.87999545782804
2025-02-17 00:45:00+00:00,1.04893,1.04933,1.04881,1.04922,609.9299888908863
2025-02-17 01:00:00+00:00,1.04927,1.04936,1.04895,1.04929,466.03999523818493
2025-02-17 01:15:00+00:00,1.04931,1.04989,1.04904,1.04984,1002.499985165894
2025-02-17 01:30:00+00:00,1.04985,1.05039,1.04981,1.05031,1160.7899820804596
2025-02-17 01:45:00+00:00,1.05029,1.05062,1.05004,1.05051,665.6299900859594
2025-02-17 02:00:00+00:00,1.05051,1.05052,1.04996,1.05018,844.6799870654941
2025-02-17 02:15:00+00:00,1.05016,1.05019,1.04987,1.0501,246.91999723017216
2025-02-17 02:30:00+00:00,1.0501,1.05021,1.04996,1.04996,220.07999692112207
2025-02-17 02:45:00+00:00,1.04994,1.05018,1.04956,1.05012,186.71999864280224
2025-02-17 03:00:00+00:00,1.0501,1.05035,1.04996,1.05031,93.9499993249774
2025-02-17 03:15:00+00:00,1.05032,1.05035,1.0495,1.04957,252.0699978545308
2025-02-17 03:30:00+00:00,1.04957,1.04969,1.04942,1.0496,582.4199961721897
2025-02-17 03:45:00+00:00,1.04959,1.04971,1.04942,1.04945,436.7199960947037
2025-02-17 04:00:00+00:00,1.04944,1.04954,1.0489,1.04916,559.0899939984083
2025-02-17 04:15:00+00:00,1.04919,1.04937,1.0491,1.04931,248.08999885618687
2025-02-17 04:30:00+00:00,1.04932,1.04948,1.04926,1.04948,589.90999674052
2025-02-17 04:45:00+00:00,1.04948,1.04972,1.0494,1.04954,472.42999923974276
2025-02-17 05:00:00+00:00,1.04956,1.04981,1.04951,1.04952,579.3399948179722
2025-02-17 05:15:00+00:00,1.04954,1.04964,1.0489,1.0491,720.9399963766336
2025-02-17 05:30:00+00:00,1.04908,1.04908,1.04853,1.04876,263.90999829024076
2025-02-17 05:45:00+00:00,1.04875,1.04912,1.04846,1.04897,349.24999848008156
2025-02-17 06:00:00+00:00,1.04896,1.04903,1.04878,1.04894,260.74999691545963
2025-02-17 06:15:00+00:00,1.04894,1.04919,1.04881,1.04907,596.2199979946017
2025-02-17 06:30:00+00:00,1.04907,1.04925,1.0489,1.04915,119.17999900877476
2025-02-17 06:45:00+00:00,1.04915,1.04933,1.04885,1.04916,586.3599908575416
2025-02-17 07:00:00+00:00,1.04917,1.04953,1.04879,1.04925,991.7899936884642
2025-02-17 07:15:00+00:00,1.04924,1.04953,1.04881,1.04883,881.8299898803234
2025-02-17 07:30:00+00:00,1.04881,1.04913,1.04824,1.04865,994.119992159307
2025-02-17 07:45:00+00:00,1.04863,1.04877,1.04803,1.04824,1292.3199953585863
2025-02-17 08:00:00+00:00,1.04825,1.04847,1.04755,1.04809,1402.5999913066626
2025-02-17 08:15:00+00:00,1.04808,1.04828,1.04727,1.04744,1594.9299876019359
2025-02-17 08:30:00+00:00,1.04743,1.04766,1.04708,1.04763,1382.0399921014905
2025-02-17 08:45:00+00:00,1.04764,1.04778,1.0473,1.04743,588.4399932175875
2025-02-17 09:00:00+00:00,1.04743,1.04778,1.04723,1.04761,695.5199944674969
2025-02-17 09:15:00+00:00,1.04761,1.04812,1.04748,1.04786,758.7599924951792
2025-02-17 09:30:00+00:00,1.04784,1.04787,1.04719,1.04746,510.649995803833
2025-02-17 09:45:00+00:00,1.04747,1.04758,1.04711,1.04741,1130.3399907946587
2025-02-17 10:00:00+00:00,1.04739,1.04825,1.04731,1.04822,1109.7099890559912
2025-02-17 10:15:00+00:00,1.04823,1.04847,1.04815,1.04833,620.689993686974
2025-02-17 10:30:00+00:00,1.04832,1.04846,1.04809,1.04816,1098.9999853223562
2025-02-17 10:45:00+00:00,1.04816,1.04891,1.04815,1.04888,1198.7899888306856
2025-02-17 11:00:00+00:00,1.04888,1.0489,1.04838,1.04854,2351.2099877148867
2025-02-17 11:15:00+00:00,1.04854,1.04886,1.04822,1.04827,1616.4399872273207
2025-02-17 11:30:00+00:00,1.04826,1.04831,1.04777,1.04793,532.6899961903691
2025-02-17 11:45:00+00:00,1.04794,1.04829,1.04792,1.04818,564.2899950742722
2025-02-17 12:00:00+00:00,1.04819,1.04844,1.0477,1.0484,500.6399969011545
2025-02-17 12:15:00+00:00,1.0484,1.04848,1.04759,1.04762,799.6599942594767
2025-02-17 12:30:00+00:00,1.04762,1.04767,1.04689,1.04699,1130.0999919623137
2025-02-17 12:45:00+00:00,1.04701,1.0474,1.04683,1.04721,1138.4399895071983
2025-02-17 13:00:00+00:00,1.04723,1.04741,1.047,1.04714,620.3399959728122
2025-02-17 13:15:00+00:00,1.04715,1.04731,1.04667,1.04684,1372.4199892058969
2025-02-17 13:30:00+00:00,1.04687,1.04729,1.04684,1.04727,932.0899888128042
2025-02-17 13:45:00+00:00,1.04726,1.04763,1.04722,1.04741,458.57999485731125
2025-02-17 14:00:00+00:00,1.04742,1.0478,1.04725,1.04737,575.6199927926064
2025-02-17 14:15:00+00:00,1.04737,1.04746,1.04712,1.04736,512.309993930161
2025-02-17 14:30:00+00:00,1.04733,1.04777,1.04713,1.04765,685.9899942427874
2025-02-17 14:45:00+00:00,1.04765,1.04793,1.04754,1.04782,707.2999928742647
2025-02-17 15:00:00+00:00,1.04783,1.04841,1.04775,1.04824,554.5599953606725
2025-02-17 15:15:00+00:00,1.04823,1.04833,1.04779,1.04804,425.659995906055
2025-02-17 15:30:00+00:00,1.04806,1.04829,1.04778,1.04786,303.06999811530113
2025-02-17 15:45:00+00:00,1.04786,1.04808,1.04739,1.04796,1279.0199834927917
2025-02-17 16:00:00+00:00,1.04796,1.04818,1.04767,1.04787,869.9799925461411
2025-02-17 16:15:00+00:00,1.04787,1.04822,1.04778,1.04816,424.55999778956175
2025-02-17 16:30:00+00:00,1.04816,1.0483,1.04771,1.04776,354.3899965286255
2025-02-17 16:45:00+00:00,1.04778,1.04809,1.04778,1.04786,207.77999874949455
2025-02-17 17:00:00+00:00,1.04788,1.04816,1.04778,1.04814,258.0799979865551
2025-02-17 17:15:00+00:00,1.04813,1.04847,1.04811,1.04838,482.5699965208769
2025-02-17 17:30:00+00:00,1.04835,1.04843,1.04805,1.04821,176.74999918043613
2025-02-17 17:45:00+00:00,1.0482,1.04833,1.04808,1.04824,121.54000006616116
2025-02-17 18:00:00+00:00,1.04825,1.04825,1.04795,1.04797,163.9699990823865
2025-02-17 18:15:00+00:00,1.04798,1.04814,1.04796,1.04811,44.78999975323677
2025-02-17 18:30:00+00:00,1.04807,1.04807,1.04791,1.04801,27.17999989539385
2025-02-17 18:45:00+00:00,1.04799,1.04821,1.04799,1.04819,48.840000346302986
2025-02-17 19:00:00+00:00,1.0482,1.04829,1.04808,1.04821,206.30999918282032
2025-02-17 19:15:00+00:00,1.04822,1.04837,1.04821,1.0483,116.10999987274408
2025-02-17 19:30:00+00:00,1.04828,1.04831,1.04804,1.04809,123.64000026136637
2025-02-17 19:45:00+00:00,1.04809,1.04816,1.04794,1.04815,168.9299992620945
2025-02-17 20:00:00+00:00,1.04815,1.04817,1.04805,1.04815,366.41999232023954
2025-02-17 20:15:00+00:00,1.04814,1.04825,1.04809,1.04812,215.00999677181244
2025-02-17 20:30:00+00:00,1.04811,1.04826,1.04811,1.0482,139.40999859571457
2025-02-17 20:45:00+00:00,1.0482,1.04836,1.04815,1.04831,165.59999990463257
2025-02-17 21:00:00+00:00,1.04833,1.04838,1.04824,1.04826,125.09999913722277
2025-02-17 21:15:00+00:00,1.04827,1.04837,1.04825,1.04833,397.0600042492151
2025-02-17 21:30:00+00:00,1.04832,1.04849,1.04831,1.0484,112.00000010430813
2025-02-17 21:45:00+00:00,1.04838,1.04845,1.04827,1.0484,101.8599995970726
2025-02-17 22:00:00+00:00,1.04835,1.04835,1.04698,1.04778,229.1900001987815
2025-02-17 22:15:00+00:00,1.04778,1.04804,1.04772,1.04797,450.08999967575073
2025-02-17 22:30:00+00:00,1.04799,1.04836,1.04784,1.04826,261.9451964199543
2025-02-17 22:45:00+00:00,1.04822,1.04834,1.0478,1.04795,323.5199977681041
2025-02-17 23:00:00+00:00,1.04805,1.04835,1.0477,1.04813,411.6599939465523
2025-02-17 23:15:00+00:00,1.04815,1.04817,1.04785,1.04786,255.92999932169914
2025-02-17 23:30:00+00:00,1.04786,1.04834,1.04786,1.04833,56.369999922811985
2025-02-17 23:45:00+00:00,1.04835,1.04856,1.04835,1.04848,54.00999942421913
2025-02-18 00:00:00+00:00,1.04847,1.04862,1.04835,1.04849,271.9199992790818
2025-02-18 00:15:00+00:00,1.04849,1.04849,1.0479,1.04801,690.1299961730838
2025-02-18 00:30:00+00:00,1.04803,1.04808,1.04762,1.04766,311.919998973608
2025-02-18 00:45:00+00:00,1.04771,1.04777,1.04726,1.0475,319.7799983024597
2025-02-18 01:00:00+00:00,1.04749,1.04753,1.04699,1.04701,781.1699951514602
2025-02-18 01:15:00+00:00,1.04706,1.04714,1.04639,1.04645,686.9199922010303
2025-02-18 01:30:00+00:00,1.04645,1.0467,1.0464,1.04651,1111.0099917575717
2025-02-18 01:45:00+00:00,1.0465,1.04674,1.04624,1.04659,748.4899920746684
