leg_id,leg_type,start_time,start_price,end_time,end_price,bars_between,price_move
1,bearish,2025-05-01 08:00:00+00:00,1.13409,2025-05-01 12:00:00+00:00,1.12657,1,0.007519999999999971
2,bullish,2025-05-01 12:00:00+00:00,1.12657,2025-05-02 12:00:00+00:00,1.13808,6,0.01150999999999991
3,bearish,2025-05-02 12:00:00+00:00,1.13808,2025-05-04 20:00:00+00:00,1.12905,3,0.009029999999999871
4,bullish,2025-05-04 20:00:00+00:00,1.12905,2025-05-05 12:00:00+00:00,1.13646,4,0.007409999999999917
5,bearish,2025-05-05 12:00:00+00:00,1.13646,2025-05-06 00:00:00+00:00,1.12797,3,0.008490000000000109
6,bullish,2025-05-06 00:00:00+00:00,1.12797,2025-05-06 16:00:00+00:00,1.13808,4,0.010110000000000063
7,bearish,2025-05-06 16:00:00+00:00,1.13808,2025-05-09 00:00:00+00:00,1.11964,14,0.018440000000000012
8,bullish,2025-05-09 00:00:00+00:00,1.11964,2025-05-09 12:00:00+00:00,1.12928,3,0.009640000000000093
9,bearish,2025-05-09 12:00:00+00:00,1.12928,2025-05-12 16:00:00+00:00,1.10651,8,0.022769999999999957
10,bullish,2025-05-12 16:00:00+00:00,1.10651,2025-05-14 08:00:00+00:00,1.12655,10,0.020039999999999836
11,bearish,2025-05-14 08:00:00+00:00,1.12655,2025-05-14 20:00:00+00:00,1.11645,3,0.010099999999999998
12,bullish,2025-05-14 20:00:00+00:00,1.11645,2025-05-15 04:00:00+00:00,1.12279,2,0.006340000000000012
13,bearish,2025-05-15 04:00:00+00:00,1.12279,2025-05-15 16:00:00+00:00,1.117,3,0.005789999999999962
14,bullish,2025-05-15 16:00:00+00:00,1.117,2025-05-16 04:00:00+00:00,1.12195,3,0.00495000000000001
15,bearish,2025-05-16 04:00:00+00:00,1.12195,2025-05-16 16:00:00+00:00,1.11308,3,0.008869999999999933
16,bullish,2025-05-16 16:00:00+00:00,1.11308,2025-05-19 08:00:00+00:00,1.12879,5,0.01570999999999989
17,bearish,2025-05-19 08:00:00+00:00,1.12879,2025-05-20 00:00:00+00:00,1.12178,4,0.007009999999999961
18,bullish,2025-05-20 00:00:00+00:00,1.12178,2025-05-20 04:00:00+00:00,1.12778,1,0.006000000000000005
19,bearish,2025-05-20 04:00:00+00:00,1.12778,2025-05-20 12:00:00+00:00,1.12235,2,0.005430000000000046
20,bullish,2025-05-20 12:00:00+00:00,1.12235,2025-05-21 16:00:00+00:00,1.13628,7,0.013929999999999998
21,bearish,2025-05-21 16:00:00+00:00,1.13628,2025-05-22 16:00:00+00:00,1.12558,6,0.010699999999999932
22,bullish,2025-05-22 16:00:00+00:00,1.12558,2025-05-23 08:00:00+00:00,1.13754,4,0.01195999999999997
23,bearish,2025-05-23 08:00:00+00:00,1.13754,2025-05-23 12:00:00+00:00,1.12973,1,0.007810000000000095
24,bullish,2025-05-23 12:00:00+00:00,1.12973,2025-05-26 00:00:00+00:00,1.14185,4,0.01212000000000013
25,bearish,2025-05-26 00:00:00+00:00,1.14185,2025-05-26 12:00:00+00:00,1.13688,3,0.004970000000000141
26,bullish,2025-05-26 12:00:00+00:00,1.13688,2025-05-27 00:00:00+00:00,1.14071,3,0.00383
27,bearish,2025-05-27 00:00:00+00:00,1.14071,2025-05-27 12:00:00+00:00,1.1323,3,0.008409999999999807
28,bullish,2025-05-27 12:00:00+00:00,1.1323,2025-05-28 00:00:00+00:00,1.13454,3,0.0022400000000000198
29,bearish,2025-05-28 00:00:00+00:00,1.13454,2025-05-28 20:00:00+00:00,1.12103,5,0.013510000000000133
30,bullish,2025-05-28 20:00:00+00:00,1.12103,2025-05-30 00:00:00+00:00,1.13897,7,0.017940000000000067
31,bearish,2025-05-30 00:00:00+00:00,1.13897,2025-05-30 12:00:00+00:00,1.13123,3,0.00774000000000008
