leg_id,leg_type,start_time,start_price,end_time,end_price,bars_between,price_move
1,bullish,2026-01-02 08:00:00+00:00,1.17132,2026-01-02 16:00:00+00:00,1.17542,2,0.0040999999999999925
2,bearish,2026-01-02 16:00:00+00:00,1.17542,2026-01-05 12:00:00+00:00,1.16588,6,0.009539999999999882
3,bullish,2026-01-05 12:00:00+00:00,1.16588,2026-01-06 04:00:00+00:00,1.17428,4,0.008399999999999963
4,bearish,2026-01-06 04:00:00+00:00,1.17428,2026-01-06 16:00:00+00:00,1.16837,3,0.005910000000000082
5,bullish,2026-01-06 16:00:00+00:00,1.16837,2026-01-07 00:00:00+00:00,1.17025,2,0.0018800000000001038
6,bearish,2026-01-07 00:00:00+00:00,1.17025,2026-01-08 16:00:00+00:00,1.16425,10,0.006000000000000005
7,bullish,2026-01-08 16:00:00+00:00,1.16425,2026-01-09 12:00:00+00:00,1.16604,5,0.0017899999999999583
8,bearish,2026-01-09 12:00:00+00:00,1.16604,2026-01-09 12:00:00+00:00,1.16179,0,0.004249999999999865
9,bullish,2026-01-09 12:00:00+00:00,1.16179,2026-01-12 12:00:00+00:00,1.16984,7,0.00804999999999989
10,bearish,2026-01-12 12:00:00+00:00,1.16984,2026-01-13 16:00:00+00:00,1.1634,7,0.006440000000000001
11,bullish,2026-01-13 16:00:00+00:00,1.1634,2026-01-14 16:00:00+00:00,1.16615,6,0.00275000000000003
12,bearish,2026-01-14 16:00:00+00:00,1.16615,2026-01-15 12:00:00+00:00,1.1593,5,0.006850000000000023
13,bullish,2026-01-15 12:00:00+00:00,1.1593,2026-01-16 12:00:00+00:00,1.16273,6,0.003430000000000044
14,bearish,2026-01-16 12:00:00+00:00,1.16273,2026-01-18 20:00:00+00:00,1.15777,3,0.0049600000000000755
15,bullish,2026-01-18 20:00:00+00:00,1.15777,2026-01-20 12:00:00+00:00,1.17688,10,0.01910999999999996
16,bearish,2026-01-20 12:00:00+00:00,1.17688,2026-01-21 20:00:00+00:00,1.16697,8,0.009909999999999863
17,bullish,2026-01-21 20:00:00+00:00,1.16697,2026-01-22 20:00:00+00:00,1.17591,6,0.008939999999999948
18,bearish,2026-01-22 20:00:00+00:00,1.17591,2026-01-23 08:00:00+00:00,1.17283,3,0.0030799999999999716
19,bullish,2026-01-23 08:00:00+00:00,1.17283,2026-01-25 20:00:00+00:00,1.18976,4,0.01692999999999989
20,bearish,2026-01-25 20:00:00+00:00,1.18976,2026-01-26 12:00:00+00:00,1.18347,4,0.006289999999999907
21,bullish,2026-01-26 12:00:00+00:00,1.18347,2026-01-26 16:00:00+00:00,1.19069,1,0.007220000000000004
22,bearish,2026-01-26 16:00:00+00:00,1.19069,2026-01-27 08:00:00+00:00,1.18502,4,0.005670000000000064
23,bullish,2026-01-27 08:00:00+00:00,1.18502,2026-01-27 20:00:00+00:00,1.20822,3,0.02320000000000011
24,bearish,2026-01-27 20:00:00+00:00,1.20822,2026-01-28 16:00:00+00:00,1.18957,5,0.018650000000000055
25,bullish,2026-01-28 16:00:00+00:00,1.18957,2026-01-29 04:00:00+00:00,1.19964,3,0.010070000000000023
26,bearish,2026-01-29 04:00:00+00:00,1.19964,2026-01-29 12:00:00+00:00,1.19059,2,0.009050000000000002
27,bullish,2026-01-29 12:00:00+00:00,1.19059,2026-01-29 20:00:00+00:00,1.19745,2,0.006859999999999866
28,bearish,2026-01-29 20:00:00+00:00,1.19745,2026-01-30 00:00:00+00:00,1.18948,1,0.00796999999999981
29,bullish,2026-01-30 00:00:00+00:00,1.18948,2026-01-30 12:00:00+00:00,1.19546,3,0.005979999999999874
