leg_id,leg_type,start_time,start_price,end_time,end_price,bars_between,price_move
1,bullish,2026-01-02 08:00:00+00:00,1.17132,2026-01-02 16:00:00+00:00,1.17542,2,0.0040999999999999925
2,bearish,2026-01-02 16:00:00+00:00,1.17542,2026-01-09 12:00:00+00:00,1.16179,30,0.013629999999999809
3,bullish,2026-01-09 12:00:00+00:00,1.16179,2026-01-12 12:00:00+00:00,1.16984,7,0.00804999999999989
4,bearish,2026-01-12 12:00:00+00:00,1.16984,2026-01-18 20:00:00+00:00,1.15777,27,0.012070000000000025
5,bullish,2026-01-18 20:00:00+00:00,1.15777,2026-01-27 20:00:00+00:00,1.20822,43,0.050450000000000106
6,bearish,2026-01-27 20:00:00+00:00,1.20822,2026-02-02 16:00:00+00:00,1.17758,24,0.03064
7,bullish,2026-02-02 16:00:00+00:00,1.17758,2026-02-04 08:00:00+00:00,1.18379,10,0.006209999999999827
8,bearish,2026-02-04 08:00:00+00:00,1.18379,2026-02-06 00:00:00+00:00,1.17654,10,0.007249999999999979
9,bullish,2026-02-06 00:00:00+00:00,1.17654,2026-02-10 12:00:00+00:00,1.19285,16,0.016310000000000047
10,bearish,2026-02-10 12:00:00+00:00,1.19285,2026-02-11 12:00:00+00:00,1.18331,6,0.009539999999999882
