symbol,side,setup_type,previous_leg_start_time,previous_leg_end_time,previous_leg_end_price,corrective_leg_start_time,corrective_leg_end_time,corrective_leg_end_price,current_leg_start_time,current_leg_end_time,current_leg_end_price,continuation_level,h4_breakout_time,h4_breakout_open,h4_breakout_high,h4_breakout_low,h4_breakout_close,entry_time,entry,m15_entry_open,m15_entry_high,m15_entry_low,m15_entry_close,exit_time,exit,sl,tp,result,search_start,search_end,pnl_points
EURUSD,buy,bullish_bearish_bullish,2025-02-17 12:00:00+00:00,2025-02-18 00:00:00+00:00,1.04862,2025-02-18 00:00:00+00:00,2025-02-19 16:00:00+00:00,1.04009,2025-02-19 16:00:00+00:00,2025-02-26 16:00:00+00:00,1.05287,1.04862,2025-02-20 16:00:00+00:00,1.04736,1.05031,1.0464,1.05014,2025-02-20 17:30:00+00:00,1.04941,1.04862,1.04946,1.04859,1.04941,2025-02-21 08:15:00+00:00,1.04841,1.04841,1.05341,SL,2025-02-19 16:00:00+00:00,2025-02-26 16:00:00+00:00,-99.99999999998897
EURUSD,sell,bearish_bullish_bearish,2025-02-18 00:00:00+00:00,2025-02-19 16:00:00+00:00,1.04009,2025-02-19 16:00:00+00:00,2025-02-26 16:00:00+00:00,1.05287,2025-02-26 16:00:00+00:00,2025-02-28 16:00:00+00:00,1.03597,1.04009,2025-02-27 20:00:00+00:00,1.04043,1.04082,1.03882,1.03936,2025-02-27 21:15:00+00:00,1.03979,1.04007,1.04019,1.03977,1.03979,2025-02-28 13:00:00+00:00,1.0407899999999999,1.0407899999999999,1.03579,SL,2025-02-26 16:00:00+00:00,2025-02-28 16:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-02-19 16:00:00+00:00,2025-02-26 16:00:00+00:00,1.05287,2025-02-26 16:00:00+00:00,2025-02-28 16:00:00+00:00,1.03597,2025-02-28 16:00:00+00:00,2025-03-07 12:00:00+00:00,1.08884,1.05287,2025-03-04 08:00:00+00:00,1.04928,1.05443,1.04861,1.05439,2025-03-04 11:45:00+00:00,1.05439,1.05238,1.05443,1.05231,1.05439,2025-03-04 13:30:00+00:00,1.05339,1.05339,1.05839,SL,2025-02-28 16:00:00+00:00,2025-03-07 12:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-02-28 16:00:00+00:00,2025-03-07 12:00:00+00:00,1.08884,2025-03-07 12:00:00+00:00,2025-03-10 08:00:00+00:00,1.08051,2025-03-10 08:00:00+00:00,2025-03-18 08:00:00+00:00,1.09545,1.08884,2025-03-11 04:00:00+00:00,1.0854,1.09014,1.08354,1.08906,2025-03-11 07:30:00+00:00,1.08961,1.08754,1.08994,1.08722,1.08961,2025-03-11 08:00:00+00:00,1.08861,1.08861,1.09361,SL,2025-03-10 08:00:00+00:00,2025-03-18 08:00:00+00:00,-99.99999999998897
EURUSD,sell,bearish_bullish_bearish,2025-03-07 12:00:00+00:00,2025-03-10 08:00:00+00:00,1.08051,2025-03-10 08:00:00+00:00,2025-03-18 08:00:00+00:00,1.09545,2025-03-18 08:00:00+00:00,2025-03-26 20:00:00+00:00,1.07328,1.08051,2025-03-24 12:00:00+00:00,1.08323,1.08344,1.07903,1.07936,2025-03-24 13:45:00+00:00,1.07933,1.08229,1.08229,1.07923,1.07933,2025-03-24 14:00:00+00:00,1.0803299999999998,1.0803299999999998,1.07533,SL,2025-03-18 08:00:00+00:00,2025-03-26 20:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-03-26 20:00:00+00:00,2025-03-31 04:00:00+00:00,1.08492,2025-03-31 04:00:00+00:00,2025-04-01 08:00:00+00:00,1.07782,2025-04-01 08:00:00+00:00,2025-04-03 08:00:00+00:00,1.11462,1.08492,2025-04-02 12:00:00+00:00,1.08023,1.0873,1.07961,1.08673,2025-04-02 14:45:00+00:00,1.08582,1.08344,1.08614,1.08344,1.08582,2025-04-02 16:30:00+00:00,1.0848200000000001,1.0848200000000001,1.08982,SL,2025-04-01 08:00:00+00:00,2025-04-03 08:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-04-01 08:00:00+00:00,2025-04-03 08:00:00+00:00,1.11462,2025-04-03 08:00:00+00:00,2025-04-08 12:00:00+00:00,1.08886,2025-04-08 12:00:00+00:00,2025-04-11 08:00:00+00:00,1.14736,1.11462,2025-04-10 12:00:00+00:00,1.107,1.12287,1.10677,1.11901,2025-04-10 14:45:00+00:00,1.11852,1.11409,1.11863,1.1136,1.11852,2025-04-10 15:00:00+00:00,1.11752,1.11752,1.12252,SL,2025-04-08 12:00:00+00:00,2025-04-11 08:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-04-08 12:00:00+00:00,2025-04-11 08:00:00+00:00,1.14736,2025-04-11 08:00:00+00:00,2025-04-15 16:00:00+00:00,1.12639,2025-04-15 16:00:00+00:00,2025-04-21 08:00:00+00:00,1.15729,1.14736,2025-04-21 00:00:00+00:00,1.14491,1.15319,1.14488,1.15148,2025-04-21 01:15:00+00:00,1.14779,1.1473,1.14783,1.14708,1.14779,2025-04-21 01:30:00+00:00,1.1467900000000002,1.1467900000000002,1.15179,SL,2025-04-15 16:00:00+00:00,2025-04-21 08:00:00+00:00,-99.99999999998897
EURUSD,sell,bearish_bullish_bearish,2025-04-28 16:00:00+00:00,2025-05-01 12:00:00+00:00,1.12657,2025-05-01 12:00:00+00:00,2025-05-06 16:00:00+00:00,1.13808,2025-05-06 16:00:00+00:00,2025-05-12 16:00:00+00:00,1.10651,1.12657,2025-05-08 12:00:00+00:00,1.12957,1.13202,1.12343,1.12477,2025-05-08 15:30:00+00:00,1.12623,1.12741,1.12805,1.12599,1.12623,2025-05-08 16:15:00+00:00,1.12223,1.12723,1.12223,TP,2025-05-06 16:00:00+00:00,2025-05-12 16:00:00+00:00,400.00000000000034
EURUSD,buy,bullish_bearish_bullish,2025-05-12 16:00:00+00:00,2025-05-26 00:00:00+00:00,1.14185,2025-05-26 00:00:00+00:00,2025-05-28 20:00:00+00:00,1.12103,2025-05-28 20:00:00+00:00,2025-06-05 12:00:00+00:00,1.14948,1.14185,2025-06-02 04:00:00+00:00,1.13617,1.14367,1.13596,1.14236,2025-06-02 07:30:00+00:00,1.14188,1.1417,1.14197,1.1413,1.14188,2025-06-02 13:15:00+00:00,1.1408800000000001,1.1408800000000001,1.14588,SL,2025-05-28 20:00:00+00:00,2025-06-05 12:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-05-28 20:00:00+00:00,2025-06-05 12:00:00+00:00,1.14948,2025-06-05 12:00:00+00:00,2025-06-06 12:00:00+00:00,1.13715,2025-06-06 12:00:00+00:00,2025-06-12 12:00:00+00:00,1.16311,1.14948,2025-06-11 20:00:00+00:00,1.14828,1.15129,1.148,1.15099,2025-06-11 22:30:00+00:00,1.14964,1.14942,1.1497,1.14928,1.14964,2025-06-12 08:15:00+00:00,1.15364,1.14864,1.15364,TP,2025-06-06 12:00:00+00:00,2025-06-12 12:00:00+00:00,400.00000000000034
EURUSD,buy,bullish_bearish_bullish,2025-06-06 12:00:00+00:00,2025-06-12 12:00:00+00:00,1.16311,2025-06-12 12:00:00+00:00,2025-06-19 04:00:00+00:00,1.14461,2025-06-19 04:00:00+00:00,2025-07-01 08:00:00+00:00,1.18298,1.16311,2025-06-25 16:00:00+00:00,1.16196,1.1665,1.16195,1.16582,2025-06-25 16:15:00+00:00,1.16325,1.16296,1.16346,1.16284,1.16325,2025-06-25 23:00:00+00:00,1.16725,1.16225,1.16725,TP,2025-06-19 04:00:00+00:00,2025-07-01 08:00:00+00:00,400.00000000000034
EURUSD,sell,bearish_bullish_bearish,2025-07-01 08:00:00+00:00,2025-07-03 12:00:00+00:00,1.17169,2025-07-03 12:00:00+00:00,2025-07-07 00:00:00+00:00,1.17901,2025-07-07 00:00:00+00:00,2025-07-15 16:00:00+00:00,1.15927,1.17169,2025-07-08 12:00:00+00:00,1.17217,1.17244,1.16825,1.17067,2025-07-08 12:30:00+00:00,1.1716,1.17189,1.17244,1.17157,1.1716,2025-07-08 18:00:00+00:00,1.1725999999999999,1.1725999999999999,1.1676,SL,2025-07-07 00:00:00+00:00,2025-07-15 16:00:00+00:00,-99.99999999998897
EURUSD,sell,bearish_bullish_bearish,2025-07-07 00:00:00+00:00,2025-07-15 16:00:00+00:00,1.15927,2025-07-15 16:00:00+00:00,2025-07-16 12:00:00+00:00,1.17212,2025-07-16 12:00:00+00:00,2025-07-17 12:00:00+00:00,1.15566,1.15927,2025-07-17 04:00:00+00:00,1.16189,1.16271,1.15733,1.15905,2025-07-17 06:15:00+00:00,1.15827,1.16081,1.16091,1.15827,1.15827,2025-07-17 07:30:00+00:00,1.1592699999999998,1.1592699999999998,1.15427,SL,2025-07-16 12:00:00+00:00,2025-07-17 12:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-07-15 16:00:00+00:00,2025-07-16 12:00:00+00:00,1.17212,2025-07-16 12:00:00+00:00,2025-07-17 12:00:00+00:00,1.15566,2025-07-17 12:00:00+00:00,2025-07-24 12:00:00+00:00,1.17887,1.17212,2025-07-22 12:00:00+00:00,1.17013,1.17488,1.16788,1.17477,2025-07-22 14:45:00+00:00,1.17224,1.17057,1.17265,1.17038,1.17224,2025-07-23 13:30:00+00:00,1.17124,1.17124,1.17624,SL,2025-07-17 12:00:00+00:00,2025-07-24 12:00:00+00:00,-99.99999999998897
EURUSD,sell,bearish_bullish_bearish,2025-07-16 12:00:00+00:00,2025-07-17 12:00:00+00:00,1.15566,2025-07-17 12:00:00+00:00,2025-07-24 12:00:00+00:00,1.17887,2025-07-24 12:00:00+00:00,2025-08-01 12:00:00+00:00,1.13915,1.15566,2025-07-29 04:00:00+00:00,1.15827,1.15902,1.15265,1.15547,2025-07-29 06:45:00+00:00,1.15336,1.15629,1.15641,1.15314,1.15336,2025-07-29 07:00:00+00:00,1.1543599999999998,1.1543599999999998,1.14936,SL,2025-07-24 12:00:00+00:00,2025-08-01 12:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-08-01 12:00:00+00:00,2025-08-01 20:00:00+00:00,1.15969,2025-08-01 20:00:00+00:00,2025-08-05 08:00:00+00:00,1.15277,2025-08-05 08:00:00+00:00,2025-08-07 08:00:00+00:00,1.16986,1.15969,2025-08-06 08:00:00+00:00,1.15808,1.16148,1.15705,1.1604,2025-08-06 10:00:00+00:00,1.16045,1.15848,1.16048,1.15841,1.16045,2025-08-06 10:30:00+00:00,1.15945,1.15945,1.16445,SL,2025-08-05 08:00:00+00:00,2025-08-07 08:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-08-05 08:00:00+00:00,2025-08-07 08:00:00+00:00,1.16986,2025-08-07 08:00:00+00:00,2025-08-11 12:00:00+00:00,1.159,2025-08-11 12:00:00+00:00,2025-08-13 08:00:00+00:00,1.17301,1.16986,2025-08-13 04:00:00+00:00,1.16836,1.17126,1.16766,1.17079,2025-08-13 07:00:00+00:00,1.17099,1.1692,1.17108,1.16918,1.17099,2025-08-13 12:45:00+00:00,1.16999,1.16999,1.17499,SL,2025-08-11 12:00:00+00:00,2025-08-13 08:00:00+00:00,-99.99999999998897
EURUSD,sell,bearish_bullish_bearish,2025-08-07 08:00:00+00:00,2025-08-11 12:00:00+00:00,1.159,2025-08-11 12:00:00+00:00,2025-08-13 08:00:00+00:00,1.17301,2025-08-13 08:00:00+00:00,2025-08-22 04:00:00+00:00,1.15828,1.159,2025-08-22 00:00:00+00:00,1.16122,1.16164,1.15888,1.15895,2025-08-22 03:45:00+00:00,1.15895,1.15942,1.15948,1.15888,1.15895,2025-08-22 08:45:00+00:00,1.1599499999999998,1.1599499999999998,1.15495,SL,2025-08-13 08:00:00+00:00,2025-08-22 04:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-08-27 08:00:00+00:00,2025-09-01 08:00:00+00:00,1.17362,2025-09-01 08:00:00+00:00,2025-09-03 04:00:00+00:00,1.16081,2025-09-03 04:00:00+00:00,2025-09-09 04:00:00+00:00,1.17799,1.17362,2025-09-05 12:00:00+00:00,1.1687,1.17592,1.16862,1.17583,2025-09-05 13:45:00+00:00,1.17487,1.17349,1.17502,1.17349,1.17487,2025-09-05 14:15:00+00:00,1.1738700000000002,1.1738700000000002,1.17887,SL,2025-09-03 04:00:00+00:00,2025-09-09 04:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-09-03 04:00:00+00:00,2025-09-09 04:00:00+00:00,1.17799,2025-09-09 04:00:00+00:00,2025-09-11 12:00:00+00:00,1.16589,2025-09-11 12:00:00+00:00,2025-09-17 16:00:00+00:00,1.19186,1.17799,2025-09-16 00:00:00+00:00,1.17627,1.17866,1.17572,1.17802,2025-09-16 03:30:00+00:00,1.17858,1.17768,1.17866,1.17767,1.17858,2025-09-16 04:00:00+00:00,1.17758,1.17758,1.18258,SL,2025-09-11 12:00:00+00:00,2025-09-17 16:00:00+00:00,-99.99999999998897
EURUSD,sell,bearish_bullish_bearish,2025-10-01 04:00:00+00:00,2025-10-02 12:00:00+00:00,1.16829,2025-10-02 12:00:00+00:00,2025-10-03 12:00:00+00:00,1.17591,2025-10-03 12:00:00+00:00,2025-10-08 16:00:00+00:00,1.15983,1.16829,2025-10-06 04:00:00+00:00,1.17243,1.17273,1.16621,1.16625,2025-10-06 07:30:00+00:00,1.16667,1.17095,1.17119,1.16667,1.16667,2025-10-06 07:45:00+00:00,1.16767,1.16767,1.16267,SL,2025-10-03 12:00:00+00:00,2025-10-08 16:00:00+00:00,-99.99999999998897
EURUSD,sell,bearish_bullish_bearish,2025-10-03 12:00:00+00:00,2025-10-08 16:00:00+00:00,1.15983,2025-10-08 16:00:00+00:00,2025-10-09 04:00:00+00:00,1.1648,2025-10-09 04:00:00+00:00,2025-10-09 16:00:00+00:00,1.1542,1.15983,2025-10-09 12:00:00+00:00,1.16119,1.16231,1.1547,1.15587,2025-10-09 13:30:00+00:00,1.15952,1.16141,1.16153,1.15914,1.15952,2025-10-09 13:45:00+00:00,1.16052,1.16052,1.15552,SL,2025-10-09 04:00:00+00:00,2025-10-09 16:00:00+00:00,-99.99999999998897
EURUSD,buy,bullish_bearish_bullish,2025-10-08 16:00:00+00:00,2025-10-09 04:00:00+00:00,1.1648,2025-10-09 04:00:00+00:00,2025-10-09 16:00:00+00:00,1.1542,2025-10-09 16:00:00+00:00,2025-10-17 04:00:00+00:00,1.17283,1.1648,2025-10-16 00:00:00+00:00,1.16455,1.16754,1.16425,1.16621,2025-10-16 00:15:00+00:00,1.16566,1.16488,1.16571,1.16478,1.16566,2025-10-16 07:15:00+00:00,1.16466,1.16466,1.16966,SL,2025-10-09 16:00:00+00:00,2025-10-17 04:00:00+00:00,-99.99999999998897
