time_utc,open,high,low,close,volume
2025-02-17 13:00:00+00:00,1.97906,1.97969,1.9786,1.97872,1344.1700063943863
2025-02-17 13:15:00+00:00,1.97877,1.9795,1.97866,1.97938,1257.8900043964386
2025-02-17 13:30:00+00:00,1.97939,1.97939,1.97891,1.97897,1360.1700098514557
2025-02-17 13:45:00+00:00,1.97895,1.97921,1.97772,1.97817,1317.9100099802017
2025-02-17 14:00:00+00:00,1.97817,1.97841,1.97748,1.97776,1555.9700137376785
2025-02-17 14:15:00+00:00,1.97774,1.97793,1.97724,1.97784,1414.040013551712
2025-02-17 14:30:00+00:00,1.97782,1.97829,1.97772,1.97779,1315.7400079965591
2025-02-17 14:45:00+00:00,1.9778,1.97863,1.97774,1.97815,1293.910008072853
2025-02-17 15:00:00+00:00,1.97815,1.97854,1.97799,1.97833,1544.6900081634521
2025-02-17 15:15:00+00:00,1.97831,1.97848,1.97785,1.97817,1155.4500074386597
2025-02-17 15:30:00+00:00,1.97815,1.97867,1.97792,1.97867,1463.2400155067444
2025-02-17 15:45:00+00:00,1.97859,1.98062,1.97858,1.98034,2568.5000137090683
2025-02-17 16:00:00+00:00,1.98029,1.98096,1.97986,1.9808,1900.1300121545792
2025-02-17 16:15:00+00:00,1.98083,1.98119,1.98036,1.98072,979.80000436306
2025-02-17 16:30:00+00:00,1.98073,1.98082,1.98005,1.98043,611.2200059890747
2025-02-17 16:45:00+00:00,1.98043,1.98108,1.98036,1.98105,657.5100042819977
2025-02-17 17:00:00+00:00,1.98102,1.98185,1.98086,1.98185,667.3500008583069
2025-02-17 17:15:00+00:00,1.98184,1.98314,1.98183,1.98313,863.73000228405
2025-02-17 17:30:00+00:00,1.98311,1.98346,1.98288,1.98314,631.7500065565109
2025-02-17 17:45:00+00:00,1.98311,1.98373,1.98291,1.983,608.0500010251999
2025-02-17 18:00:00+00:00,1.98304,1.98329,1.98264,1.98289,390.64000165462494
2025-02-17 18:15:00+00:00,1.98288,1.98294,1.98253,1.98267,330.4900028705597
2025-02-17 18:30:00+00:00,1.98266,1.98303,1.98253,1.98282,334.31000196933746
2025-02-17 18:45:00+00:00,1.98282,1.98537,1.98279,1.98526,775.9200038909912
2025-02-17 19:00:00+00:00,1.98522,1.98677,1.98512,1.98677,915.1600081920624
2025-02-17 19:15:00+00:00,1.98672,1.98803,1.98664,1.98791,925.9000109434128
2025-02-17 19:30:00+00:00,1.9879,1.98791,1.98553,1.98562,391.0500078201294
2025-02-17 19:45:00+00:00,1.98558,1.98578,1.98539,1.98561,311.0300050973892
2025-02-17 20:00:00+00:00,1.9856,1.98579,1.98547,1.98557,263.5900048017502
2025-02-17 20:15:00+00:00,1.98558,1.9857,1.98535,1.9854,302.58000433444977
2025-02-17 20:30:00+00:00,1.9854,1.98555,1.98505,1.98506,247.90000355243683
2025-02-17 20:45:00+00:00,1.98509,1.98519,1.98475,1.98495,322.12000546604395
2025-02-17 21:00:00+00:00,1.98505,1.98519,1.98385,1.98512,115.9100023880601
2025-02-17 21:15:00+00:00,1.98514,1.98559,1.98509,1.98541,194.4600032567978
2025-02-17 21:30:00+00:00,1.9854,1.98618,1.98528,1.9861,366.42000663280487
2025-02-17 21:45:00+00:00,1.98608,1.98624,1.98575,1.98584,417.6800084710121
2025-02-17 22:00:00+00:00,1.98457,1.98501,1.98405,1.98488,234.8100014925003
2025-02-17 22:15:00+00:00,1.9848,1.98602,1.9848,1.98554,313.9500091075897
2025-02-17 22:30:00+00:00,1.98535,1.98622,1.98456,1.98518,617.9600023031235
2025-02-17 22:45:00+00:00,1.98523,1.98659,1.98394,1.98659,1090.9699994325638
2025-02-17 23:00:00+00:00,1.98651,1.98667,1.98576,1.98659,1142.2500280737877
2025-02-17 23:15:00+00:00,1.98658,1.98674,1.98626,1.98641,721.7000203132629
2025-02-17 23:30:00+00:00,1.9864,1.98644,1.98588,1.98617,1059.410016298294
2025-02-17 23:45:00+00:00,1.98617,1.98618,1.98548,1.98564,873.2500203847885
2025-02-18 00:00:00+00:00,1.98564,1.98691,1.98549,1.98637,985.0400050878525
2025-02-18 00:15:00+00:00,1.98644,1.98679,1.986,1.98609,616.0500013828278
2025-02-18 00:30:00+00:00,1.98607,1.98607,1.9854,1.98576,776.400003194809
2025-02-18 00:45:00+00:00,1.9858,1.98657,1.98578,1.9863,1203.5400068759918
2025-02-18 01:00:00+00:00,1.9863,1.98844,1.98626,1.98728,1911.9200102090836
2025-02-18 01:15:00+00:00,1.98729,1.98766,1.98619,1.98757,1530.1300016641617
2025-02-18 01:30:00+00:00,1.98759,1.98773,1.98628,1.9876,2075.540013074875
2025-02-18 01:45:00+00:00,1.98766,1.98868,1.98746,1.98794,1866.5200144052505
2025-02-18 02:00:00+00:00,1.98794,1.98795,1.98704,1.98705,1299.6100099086761
2025-02-18 02:15:00+00:00,1.98705,1.98724,1.9864,1.98648,1075.8200025558472
