symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
GBPCAD,2025-02-21 00:00:00+00:00,2025-02-21 08:00:00+00:00,sell,2025-02-21 03:30:00+00:00,1.79528,2025-02-21 07:00:00+00:00,1.7962799999999999,SL,-99.99999999998897
GBPCAD,2025-02-25 00:00:00+00:00,2025-02-25 08:00:00+00:00,sell,2025-02-25 03:30:00+00:00,1.7998,2025-02-25 06:30:00+00:00,1.8008,SL,-99.99999999998897
GBPCAD,2025-02-26 00:00:00+00:00,2025-02-26 08:00:00+00:00,sell,2025-02-26 04:00:00+00:00,1.81158,2025-02-26 08:00:00+00:00,1.8125799999999999,SL,-99.99999999998897
GBPCAD,2025-02-26 16:00:00+00:00,2025-02-27 00:00:00+00:00,sell,2025-02-26 18:45:00+00:00,1.8176,2025-02-26 21:15:00+00:00,1.8186,SL,-99.99999999998897
GBPCAD,2025-03-04 00:00:00+00:00,2025-03-04 08:00:00+00:00,sell,2025-03-04 02:15:00+00:00,1.83968,2025-03-04 04:30:00+00:00,1.8406799999999999,SL,-99.99999999998897
GBPCAD,2025-03-06 04:00:00+00:00,2025-03-06 12:00:00+00:00,buy,2025-03-06 07:00:00+00:00,1.84998,2025-03-06 07:15:00+00:00,1.84898,SL,-99.99999999998897
GBPCAD,2025-03-10 00:00:00+00:00,2025-03-10 08:00:00+00:00,sell,2025-03-10 07:15:00+00:00,1.85466,2025-03-10 07:45:00+00:00,1.85266,TP,200.00000000000017
GBPCAD,2025-03-11 16:00:00+00:00,2025-03-12 00:00:00+00:00,sell,2025-03-11 18:15:00+00:00,1.87348,2025-03-11 18:30:00+00:00,1.87148,TP,200.00000000000017
GBPCAD,2025-03-14 00:00:00+00:00,2025-03-14 08:00:00+00:00,sell,2025-03-14 03:30:00+00:00,1.86775,2025-03-14 07:00:00+00:00,1.86575,TP,200.00000000000017
GBPCAD,2025-03-19 16:00:00+00:00,2025-03-20 00:00:00+00:00,buy,2025-03-19 18:00:00+00:00,1.86041,2025-03-19 20:30:00+00:00,1.86241,TP,200.00000000000017
GBPCAD,2025-03-24 08:00:00+00:00,2025-03-24 16:00:00+00:00,sell,2025-03-24 11:00:00+00:00,1.85554,2025-03-24 12:15:00+00:00,1.8565399999999999,SL,-99.99999999998897
GBPCAD,2025-03-26 16:00:00+00:00,2025-03-27 00:00:00+00:00,buy,2025-03-26 18:45:00+00:00,1.84077,2025-03-26 20:30:00+00:00,1.8397700000000001,SL,-99.99999999998897
GBPCAD,2025-03-27 16:00:00+00:00,2025-03-28 00:00:00+00:00,sell,2025-03-27 19:00:00+00:00,1.8533,2025-03-27 21:00:00+00:00,1.8513,TP,200.00000000000017
GBPCAD,2025-03-31 12:00:00+00:00,2025-03-31 20:00:00+00:00,sell,2025-03-31 14:00:00+00:00,1.85753,2025-03-31 14:15:00+00:00,1.85553,TP,200.00000000000017
GBPCAD,2025-04-01 04:00:00+00:00,2025-04-01 12:00:00+00:00,sell,2025-04-01 07:30:00+00:00,1.85821,2025-04-01 08:00:00+00:00,1.8592099999999998,SL,-99.99999999998897
GBPCAD,2025-04-02 00:00:00+00:00,2025-04-02 08:00:00+00:00,buy,2025-04-02 04:30:00+00:00,1.8479,2025-04-02 06:00:00+00:00,1.8469000000000002,SL,-99.99999999998897
GBPCAD,2025-04-02 20:00:00+00:00,2025-04-03 04:00:00+00:00,sell,2025-04-02 23:45:00+00:00,1.85418,2025-04-03 00:00:00+00:00,1.8551799999999998,SL,-99.99999999998897
GBPCAD,2025-04-03 20:00:00+00:00,2025-04-04 04:00:00+00:00,buy,2025-04-04 01:45:00+00:00,1.84209,2025-04-04 03:15:00+00:00,1.84409,TP,200.00000000000017
GBPCAD,2025-04-07 16:00:00+00:00,2025-04-08 00:00:00+00:00,buy,2025-04-07 18:30:00+00:00,1.81198,2025-04-07 18:45:00+00:00,1.81098,SL,-99.99999999998897
GBPCAD,2025-04-09 04:00:00+00:00,2025-04-09 12:00:00+00:00,sell,2025-04-09 10:15:00+00:00,1.81942,2025-04-09 10:30:00+00:00,1.82042,SL,-99.99999999998897
GBPCAD,2025-04-09 20:00:00+00:00,2025-04-10 04:00:00+00:00,buy,2025-04-10 03:00:00+00:00,1.80937,2025-04-10 03:45:00+00:00,1.80837,SL,-99.99999999998897
GBPCAD,2025-04-14 16:00:00+00:00,2025-04-15 00:00:00+00:00,sell,2025-04-14 20:15:00+00:00,1.82933,2025-04-14 21:00:00+00:00,1.82733,TP,200.00000000000017
GBPCAD,2025-04-15 20:00:00+00:00,2025-04-16 04:00:00+00:00,sell,2025-04-16 01:15:00+00:00,1.84681,2025-04-16 01:30:00+00:00,1.84781,SL,-99.99999999998897
GBPCAD,2025-04-17 00:00:00+00:00,2025-04-17 08:00:00+00:00,buy,2025-04-17 06:15:00+00:00,1.8348,2025-04-17 06:45:00+00:00,1.8368,TP,200.00000000000017
GBPCAD,2025-04-21 08:00:00+00:00,2025-04-21 16:00:00+00:00,sell,2025-04-21 11:00:00+00:00,1.84807,2025-04-21 11:15:00+00:00,1.84907,SL,-99.99999999998897
GBPCAD,2025-04-23 00:00:00+00:00,2025-04-23 08:00:00+00:00,buy,2025-04-23 02:30:00+00:00,1.84003,2025-04-23 06:15:00+00:00,1.8390300000000002,SL,-99.99999999998897
GBPCAD,2025-04-24 20:00:00+00:00,2025-04-25 04:00:00+00:00,sell,2025-04-25 03:15:00+00:00,1.84463,2025-04-25 04:00:00+00:00,1.84263,TP,200.00000000000017
GBPCAD,2025-04-29 04:00:00+00:00,2025-04-29 12:00:00+00:00,sell,2025-04-29 06:15:00+00:00,1.85688,2025-04-29 07:15:00+00:00,1.85488,TP,200.00000000000017
GBPCAD,2025-05-01 04:00:00+00:00,2025-05-01 12:00:00+00:00,buy,2025-05-01 07:15:00+00:00,1.83449,2025-05-01 07:30:00+00:00,1.83649,TP,200.00000000000017
GBPCAD,2025-05-05 12:00:00+00:00,2025-05-05 20:00:00+00:00,sell,2025-05-05 14:15:00+00:00,1.83937,2025-05-05 14:45:00+00:00,1.83737,TP,200.00000000000017
GBPCAD,2025-05-06 12:00:00+00:00,2025-05-06 20:00:00+00:00,sell,2025-05-06 20:00:00+00:00,1.84177,2025-05-06 21:15:00+00:00,1.83977,TP,200.00000000000017
GBPCAD,2025-05-09 04:00:00+00:00,2025-05-09 12:00:00+00:00,buy,2025-05-09 08:30:00+00:00,1.84614,2025-05-09 12:45:00+00:00,1.84814,TP,200.00000000000017
GBPCAD,2025-05-13 20:00:00+00:00,2025-05-14 04:00:00+00:00,sell,2025-05-13 22:00:00+00:00,1.85363,2025-05-14 00:15:00+00:00,1.85463,SL,-99.99999999998897
GBPCAD,2025-05-15 16:00:00+00:00,2025-05-16 00:00:00+00:00,sell,2025-05-15 20:00:00+00:00,1.85674,2025-05-16 00:30:00+00:00,1.85774,SL,-99.99999999998897
GBPCAD,2025-05-20 08:00:00+00:00,2025-05-20 16:00:00+00:00,sell,2025-05-20 11:30:00+00:00,1.86319,2025-05-20 12:15:00+00:00,1.86119,TP,200.00000000000017
GBPCAD,2025-05-26 04:00:00+00:00,2025-05-26 12:00:00+00:00,sell,2025-05-26 06:15:00+00:00,1.86058,2025-05-26 06:45:00+00:00,1.85858,TP,200.00000000000017
GBPCAD,2025-05-27 04:00:00+00:00,2025-05-27 12:00:00+00:00,sell,2025-05-27 06:45:00+00:00,1.86197,2025-05-27 08:15:00+00:00,1.8629699999999998,SL,-99.99999999998897
GBPCAD,2025-05-30 00:00:00+00:00,2025-05-30 08:00:00+00:00,sell,2025-05-30 05:30:00+00:00,1.86159,2025-05-30 06:30:00+00:00,1.86259,SL,-99.99999999998897
GBPCAD,2025-06-01 20:00:00+00:00,2025-06-02 04:00:00+00:00,buy,2025-06-01 22:45:00+00:00,1.84785,2025-06-02 00:15:00+00:00,1.84985,TP,200.00000000000017
GBPCAD,2025-06-03 00:00:00+00:00,2025-06-03 08:00:00+00:00,sell,2025-06-03 03:15:00+00:00,1.85646,2025-06-03 06:15:00+00:00,1.8574599999999999,SL,-99.99999999998897
GBPCAD,2025-06-03 20:00:00+00:00,2025-06-04 04:00:00+00:00,buy,2025-06-03 22:00:00+00:00,1.8546,2025-06-04 05:30:00+00:00,1.8536000000000001,SL,-99.99999999998897
GBPCAD,2025-06-09 08:00:00+00:00,2025-06-09 16:00:00+00:00,sell,2025-06-09 12:00:00+00:00,1.85311,2025-06-09 13:30:00+00:00,1.85411,SL,-99.99999999998897
GBPCAD,2025-06-11 08:00:00+00:00,2025-06-11 16:00:00+00:00,buy,2025-06-11 12:00:00+00:00,1.84686,2025-06-11 12:15:00+00:00,1.84586,SL,-99.99999999998897
GBPCAD,2025-06-16 00:00:00+00:00,2025-06-16 08:00:00+00:00,buy,2025-06-16 03:15:00+00:00,1.8417,2025-06-16 05:30:00+00:00,1.8437,TP,200.00000000000017
GBPCAD,2025-06-17 20:00:00+00:00,2025-06-18 04:00:00+00:00,buy,2025-06-18 01:45:00+00:00,1.83704,2025-06-18 02:30:00+00:00,1.8360400000000001,SL,-99.99999999998897
GBPCAD,2025-06-20 04:00:00+00:00,2025-06-20 12:00:00+00:00,sell,2025-06-20 06:00:00+00:00,1.84678,2025-06-20 08:45:00+00:00,1.84778,SL,-99.99999999998897
GBPCAD,2025-06-23 08:00:00+00:00,2025-06-23 16:00:00+00:00,sell,2025-06-23 12:15:00+00:00,1.84485,2025-06-23 13:15:00+00:00,1.84585,SL,-99.99999999998897
GBPCAD,2025-06-24 20:00:00+00:00,2025-06-25 04:00:00+00:00,sell,2025-06-25 00:00:00+00:00,1.86831,2025-06-25 01:00:00+00:00,1.8693099999999998,SL,-99.99999999998897
GBPCAD,2025-06-26 08:00:00+00:00,2025-06-26 16:00:00+00:00,sell,2025-06-26 12:45:00+00:00,1.8751,2025-06-26 13:00:00+00:00,1.8731,TP,200.00000000000017
GBPCAD,2025-06-30 16:00:00+00:00,2025-07-01 00:00:00+00:00,buy,2025-06-30 20:00:00+00:00,1.87022,2025-06-30 20:15:00+00:00,1.86922,SL,-99.99999999998897
GBPCAD,2025-07-02 04:00:00+00:00,2025-07-02 12:00:00+00:00,sell,2025-07-02 06:30:00+00:00,1.87383,2025-07-02 07:15:00+00:00,1.87183,TP,200.00000000000017
GBPCAD,2025-07-02 20:00:00+00:00,2025-07-03 04:00:00+00:00,buy,2025-07-03 01:00:00+00:00,1.8541,2025-07-03 01:45:00+00:00,1.8531000000000002,SL,-99.99999999998897
