symbol,side,setup_type,previous_leg_start_time,previous_leg_end_time,previous_leg_end_price,corrective_leg_start_time,corrective_leg_end_time,corrective_leg_end_price,current_leg_start_time,current_leg_end_time,current_leg_end_price,continuation_level,h4_breakout_time,h4_breakout_open,h4_breakout_high,h4_breakout_low,h4_breakout_close,entry_time,entry,m15_entry_open,m15_entry_high,m15_entry_low,m15_entry_close,exit_time,exit,sl,tp,result,search_start,search_end,pnl_points
GBPUSD,sell,bearish_bullish_bearish,2025-02-21 04:00:00+00:00,2025-02-21 16:00:00+00:00,1.26246,2025-02-21 16:00:00+00:00,2025-02-24 00:00:00+00:00,1.26902,2025-02-24 00:00:00+00:00,2025-02-25 08:00:00+00:00,1.26054,1.26246,2025-02-24 12:00:00+00:00,1.26393,1.26503,1.26117,1.262,2025-02-24 14:30:00+00:00,1.26189,1.26367,1.26381,1.26156,1.26189,2025-02-24 15:00:00+00:00,1.2628899999999998,1.2628899999999998,1.25789,SL,2025-02-24 00:00:00+00:00,2025-02-25 08:00:00+00:00,-99.99999999998897
GBPUSD,buy,bullish_bearish_bullish,2025-02-21 16:00:00+00:00,2025-02-24 00:00:00+00:00,1.26902,2025-02-24 00:00:00+00:00,2025-02-25 08:00:00+00:00,1.26054,2025-02-25 08:00:00+00:00,2025-02-26 16:00:00+00:00,1.27153,1.26902,2025-02-26 12:00:00+00:00,1.2648,1.26985,1.26409,1.26944,2025-02-26 15:45:00+00:00,1.26944,1.26862,1.26985,1.26852,1.26944,2025-02-26 17:45:00+00:00,1.26844,1.26844,1.27344,SL,2025-02-25 08:00:00+00:00,2025-02-26 16:00:00+00:00,-99.99999999998897
GBPUSD,sell,bearish_bullish_bearish,2025-02-24 00:00:00+00:00,2025-02-25 08:00:00+00:00,1.26054,2025-02-25 08:00:00+00:00,2025-02-26 16:00:00+00:00,1.27153,2025-02-26 16:00:00+00:00,2025-02-28 16:00:00+00:00,1.25589,1.26054,2025-02-27 20:00:00+00:00,1.26076,1.26124,1.25955,1.25959,2025-02-27 20:15:00+00:00,1.26048,1.26066,1.26087,1.26041,1.26048,2025-02-28 15:15:00+00:00,1.26148,1.26148,1.25648,SL,2025-02-26 16:00:00+00:00,2025-02-28 16:00:00+00:00,-99.99999999998897
GBPUSD,buy,bullish_bearish_bullish,2025-02-25 08:00:00+00:00,2025-02-26 16:00:00+00:00,1.27153,2025-02-26 16:00:00+00:00,2025-02-28 16:00:00+00:00,1.25589,2025-02-28 16:00:00+00:00,2025-03-10 12:00:00+00:00,1.29462,1.27153,2025-03-04 08:00:00+00:00,1.27036,1.27413,1.26924,1.27404,2025-03-04 08:15:00+00:00,1.27184,1.26995,1.27195,1.26966,1.27184,2025-03-04 10:15:00+00:00,1.2708400000000002,1.2708400000000002,1.27584,SL,2025-02-28 16:00:00+00:00,2025-03-10 12:00:00+00:00,-99.99999999998897
GBPUSD,buy,bullish_bearish_bullish,2025-02-28 16:00:00+00:00,2025-03-10 12:00:00+00:00,1.29462,2025-03-10 12:00:00+00:00,2025-03-10 16:00:00+00:00,1.28612,2025-03-10 16:00:00+00:00,2025-03-12 12:00:00+00:00,1.29887,1.29462,2025-03-11 16:00:00+00:00,1.29456,1.29657,1.29334,1.29517,2025-03-11 17:45:00+00:00,1.2949,1.29406,1.29494,1.29404,1.2949,2025-03-11 21:00:00+00:00,1.2939,1.2939,1.2989,SL,2025-03-10 16:00:00+00:00,2025-03-12 12:00:00+00:00,-99.99999999998897
GBPUSD,buy,bullish_bearish_bullish,2025-03-10 16:00:00+00:00,2025-03-12 12:00:00+00:00,1.29887,2025-03-12 12:00:00+00:00,2025-03-14 12:00:00+00:00,1.29106,2025-03-14 12:00:00+00:00,2025-03-20 00:00:00+00:00,1.30144,1.29887,2025-03-17 16:00:00+00:00,1.29845,1.29984,1.29813,1.29913,2025-03-17 16:45:00+00:00,1.29905,1.29883,1.29933,1.29882,1.29905,2025-03-18 01:45:00+00:00,1.2980500000000001,1.2980500000000001,1.30305,SL,2025-03-14 12:00:00+00:00,2025-03-20 00:00:00+00:00,-99.99999999998897
GBPUSD,sell,bearish_bullish_bearish,2025-03-12 12:00:00+00:00,2025-03-14 12:00:00+00:00,1.29106,2025-03-14 12:00:00+00:00,2025-03-20 00:00:00+00:00,1.30144,2025-03-20 00:00:00+00:00,2025-03-21 16:00:00+00:00,1.28873,1.29106,2025-03-21 12:00:00+00:00,1.29455,1.29552,1.2893,1.28931,2025-03-21 15:45:00+00:00,1.28931,1.29291,1.29296,1.2893,1.28931,2025-03-21 16:15:00+00:00,1.2903099999999998,1.2903099999999998,1.28531,SL,2025-03-20 00:00:00+00:00,2025-03-21 16:00:00+00:00,-99.99999999998897
GBPUSD,sell,bearish_bullish_bearish,2025-03-20 00:00:00+00:00,2025-03-21 16:00:00+00:00,1.28873,2025-03-21 16:00:00+00:00,2025-03-24 08:00:00+00:00,1.2974,2025-03-24 08:00:00+00:00,2025-03-26 20:00:00+00:00,1.28704,1.28873,2025-03-26 12:00:00+00:00,1.28965,1.29089,1.28738,1.28857,2025-03-26 13:15:00+00:00,1.2876,1.29033,1.29051,1.28757,1.2876,2025-03-26 13:30:00+00:00,1.2886,1.2886,1.2836,SL,2025-03-24 08:00:00+00:00,2025-03-26 20:00:00+00:00,-99.99999999998897
GBPUSD,buy,bullish_bearish_bullish,2025-03-26 20:00:00+00:00,2025-03-27 12:00:00+00:00,1.29919,2025-03-27 12:00:00+00:00,2025-04-01 12:00:00+00:00,1.2879,2025-04-01 12:00:00+00:00,2025-04-03 08:00:00+00:00,1.32073,1.29919,2025-04-02 20:00:00+00:00,1.2981,1.3052,1.29533,1.30453,2025-04-02 20:45:00+00:00,1.30055,1.29765,1.3016,1.29743,1.30055,2025-04-02 21:00:00+00:00,1.2995500000000002,1.2995500000000002,1.30455,SL,2025-04-01 12:00:00+00:00,2025-04-03 08:00:00+00:00,-99.99999999998897
GBPUSD,sell,bearish_bullish_bearish,2025-03-27 12:00:00+00:00,2025-04-01 12:00:00+00:00,1.2879,2025-04-01 12:00:00+00:00,2025-04-03 08:00:00+00:00,1.32073,2025-04-03 08:00:00+00:00,2025-04-07 20:00:00+00:00,1.27079,1.2879,2025-04-04 16:00:00+00:00,1.29259,1.29286,1.28561,1.28731,2025-04-04 17:00:00+00:00,1.28741,1.28952,1.28988,1.28675,1.28741,2025-04-04 17:45:00+00:00,1.2884099999999998,1.2884099999999998,1.28341,SL,2025-04-03 08:00:00+00:00,2025-04-07 20:00:00+00:00,-99.99999999998897
