symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
NZDCAD,2025-02-21 04:00:00+00:00,2025-02-21 12:00:00+00:00,sell,2025-02-21 10:00:00+00:00,0.81681,2025-02-23 22:45:00+00:00,0.81781,SL,-100.00000000000009
NZDCAD,2025-02-24 04:00:00+00:00,2025-02-24 12:00:00+00:00,sell,2025-02-24 07:00:00+00:00,0.8168,2025-02-24 20:30:00+00:00,0.8178,SL,-100.00000000000009
NZDCAD,2025-02-26 00:00:00+00:00,2025-02-26 08:00:00+00:00,sell,2025-02-26 02:30:00+00:00,0.81777,2025-02-26 16:30:00+00:00,0.81877,SL,-100.00000000000009
NZDCAD,2025-03-03 20:00:00+00:00,2025-03-04 04:00:00+00:00,sell,2025-03-04 00:00:00+00:00,0.81303,2025-03-04 01:30:00+00:00,0.81403,SL,-100.00000000000009
NZDCAD,2025-03-06 00:00:00+00:00,2025-03-06 08:00:00+00:00,sell,2025-03-06 07:15:00+00:00,0.82185,2025-03-06 08:15:00+00:00,0.82285,SL,-100.00000000000009
NZDCAD,2025-03-10 16:00:00+00:00,2025-03-11 00:00:00+00:00,sell,2025-03-10 22:15:00+00:00,0.82182,2025-03-11 09:00:00+00:00,0.82282,SL,-100.00000000000009
NZDCAD,2025-03-18 00:00:00+00:00,2025-03-18 08:00:00+00:00,sell,2025-03-18 06:00:00+00:00,0.83154,2025-03-18 07:30:00+00:00,0.83254,SL,-100.00000000000009
NZDCAD,2025-03-19 00:00:00+00:00,2025-03-19 08:00:00+00:00,sell,2025-03-19 03:00:00+00:00,0.83169,2025-03-19 07:30:00+00:00,0.82969,TP,200.00000000000017
NZDCAD,2025-03-27 00:00:00+00:00,2025-03-27 08:00:00+00:00,buy,2025-03-27 04:00:00+00:00,0.81862,2025-03-27 08:15:00+00:00,0.82062,TP,200.00000000000017
NZDCAD,2025-03-27 16:00:00+00:00,2025-03-28 00:00:00+00:00,sell,2025-03-27 21:45:00+00:00,0.82054,2025-03-28 02:30:00+00:00,0.81854,TP,200.00000000000017
NZDCAD,2025-04-01 20:00:00+00:00,2025-04-02 04:00:00+00:00,buy,2025-04-01 22:00:00+00:00,0.81533,2025-04-02 01:45:00+00:00,0.81733,TP,200.00000000000017
NZDCAD,2025-04-02 12:00:00+00:00,2025-04-02 20:00:00+00:00,sell,2025-04-02 16:00:00+00:00,0.82085,2025-04-02 20:00:00+00:00,0.82185,SL,-100.00000000000009
NZDCAD,2025-04-08 08:00:00+00:00,2025-04-08 16:00:00+00:00,sell,2025-04-08 11:15:00+00:00,0.79321,2025-04-08 12:00:00+00:00,0.79421,SL,-100.00000000000009
NZDCAD,2025-04-09 00:00:00+00:00,2025-04-09 08:00:00+00:00,buy,2025-04-09 02:00:00+00:00,0.78863,2025-04-09 02:45:00+00:00,0.78763,SL,-100.00000000000009
NZDCAD,2025-04-14 20:00:00+00:00,2025-04-15 04:00:00+00:00,sell,2025-04-14 23:45:00+00:00,0.81508,2025-04-15 00:00:00+00:00,0.81608,SL,-100.00000000000009
NZDCAD,2025-04-15 16:00:00+00:00,2025-04-16 00:00:00+00:00,sell,2025-04-15 18:00:00+00:00,0.82343,2025-04-15 21:15:00+00:00,0.82143,TP,200.00000000000017
NZDCAD,2025-04-16 20:00:00+00:00,2025-04-17 04:00:00+00:00,buy,2025-04-17 02:00:00+00:00,0.82076,2025-04-17 06:00:00+00:00,0.81976,SL,-100.00000000000009
NZDCAD,2025-04-18 08:00:00+00:00,2025-04-18 16:00:00+00:00,buy,2025-04-18 11:00:00+00:00,0.82195,2025-04-18 12:15:00+00:00,0.82095,SL,-100.00000000000009
