symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
NZDJPY,2025-02-20 20:00:00+00:00,2025-02-21 04:00:00+00:00,sell,2025-02-21 03:30:00+00:00,86.676,2025-02-21 07:30:00+00:00,86.776,SL,-99.99999999999432
NZDJPY,2025-02-24 12:00:00+00:00,2025-02-24 20:00:00+00:00,sell,2025-02-24 14:00:00+00:00,86.038,2025-02-24 14:30:00+00:00,85.838,TP,200.00000000000284
NZDJPY,2025-02-25 08:00:00+00:00,2025-02-25 16:00:00+00:00,buy,2025-02-25 10:30:00+00:00,85.562,2025-02-25 14:45:00+00:00,85.462,SL,-99.99999999999432
NZDJPY,2025-02-27 12:00:00+00:00,2025-02-27 20:00:00+00:00,sell,2025-02-27 16:45:00+00:00,84.566,2025-02-27 18:15:00+00:00,84.666,SL,-99.99999999999432
NZDJPY,2025-02-28 04:00:00+00:00,2025-02-28 12:00:00+00:00,buy,2025-02-28 07:30:00+00:00,84.203,2025-02-28 08:30:00+00:00,84.403,TP,200.00000000000284
NZDJPY,2025-03-04 04:00:00+00:00,2025-03-04 12:00:00+00:00,buy,2025-03-04 07:30:00+00:00,83.922,2025-03-04 07:45:00+00:00,83.822,SL,-99.99999999999432
NZDJPY,2025-03-06 04:00:00+00:00,2025-03-06 12:00:00+00:00,sell,2025-03-06 08:45:00+00:00,84.995,2025-03-06 09:15:00+00:00,84.795,TP,200.00000000000284
NZDJPY,2025-03-11 04:00:00+00:00,2025-03-11 12:00:00+00:00,buy,2025-03-11 06:00:00+00:00,83.699,2025-03-11 08:00:00+00:00,83.899,TP,200.00000000000284
NZDJPY,2025-03-12 00:00:00+00:00,2025-03-12 08:00:00+00:00,sell,2025-03-12 05:45:00+00:00,84.49,2025-03-12 06:45:00+00:00,84.58999999999999,SL,-99.99999999999432
NZDJPY,2025-03-13 00:00:00+00:00,2025-03-13 08:00:00+00:00,sell,2025-03-13 03:15:00+00:00,84.992,2025-03-13 04:15:00+00:00,84.792,TP,200.00000000000284
NZDJPY,2025-03-13 20:00:00+00:00,2025-03-14 04:00:00+00:00,buy,2025-03-13 22:00:00+00:00,84.285,2025-03-14 00:30:00+00:00,84.485,TP,200.00000000000284
NZDJPY,2025-03-18 08:00:00+00:00,2025-03-18 16:00:00+00:00,sell,2025-03-18 13:30:00+00:00,86.914,2025-03-18 18:00:00+00:00,86.714,TP,200.00000000000284
NZDJPY,2025-03-20 12:00:00+00:00,2025-03-20 20:00:00+00:00,buy,2025-03-20 17:00:00+00:00,85.545,2025-03-20 17:15:00+00:00,85.44500000000001,SL,-99.99999999999432
NZDJPY,2025-03-25 00:00:00+00:00,2025-03-25 08:00:00+00:00,sell,2025-03-25 03:15:00+00:00,86.201,2025-03-25 11:30:00+00:00,86.30099999999999,SL,-99.99999999999432
NZDJPY,2025-03-26 08:00:00+00:00,2025-03-26 16:00:00+00:00,sell,2025-03-26 11:45:00+00:00,86.427,2025-03-26 13:30:00+00:00,86.527,SL,-99.99999999999432
NZDJPY,2025-03-27 12:00:00+00:00,2025-03-27 20:00:00+00:00,sell,2025-03-27 16:45:00+00:00,86.697,2025-03-27 17:00:00+00:00,86.797,SL,-99.99999999999432
NZDJPY,2025-03-28 08:00:00+00:00,2025-03-28 16:00:00+00:00,buy,2025-03-28 11:00:00+00:00,86.178,2025-03-28 13:00:00+00:00,86.378,TP,200.00000000000284
NZDJPY,2025-03-31 16:00:00+00:00,2025-04-01 00:00:00+00:00,buy,2025-03-31 18:00:00+00:00,85.164,2025-03-31 21:00:00+00:00,85.06400000000001,SL,-99.99999999999432
NZDJPY,2025-04-01 12:00:00+00:00,2025-04-01 20:00:00+00:00,buy,2025-04-01 14:30:00+00:00,85.088,2025-04-01 16:00:00+00:00,85.288,TP,200.00000000000284
NZDJPY,2025-04-02 08:00:00+00:00,2025-04-02 16:00:00+00:00,sell,2025-04-02 13:15:00+00:00,85.661,2025-04-02 13:30:00+00:00,85.761,SL,-99.99999999999432
NZDJPY,2025-04-03 04:00:00+00:00,2025-04-03 12:00:00+00:00,buy,2025-04-03 06:15:00+00:00,84.778,2025-04-03 06:45:00+00:00,84.97800000000001,TP,200.00000000000284
NZDJPY,2025-04-09 04:00:00+00:00,2025-04-09 12:00:00+00:00,buy,2025-04-09 07:15:00+00:00,80.648,2025-04-09 07:30:00+00:00,80.548,SL,-99.99999999999432
NZDJPY,2025-04-10 16:00:00+00:00,2025-04-11 00:00:00+00:00,buy,2025-04-10 20:00:00+00:00,83.181,2025-04-10 20:15:00+00:00,83.081,SL,-99.99999999999432
NZDJPY,2025-04-16 08:00:00+00:00,2025-04-16 16:00:00+00:00,buy,2025-04-16 10:45:00+00:00,84.397,2025-04-16 11:45:00+00:00,84.29700000000001,SL,-99.99999999999432
NZDJPY,2025-04-17 20:00:00+00:00,2025-04-18 04:00:00+00:00,sell,2025-04-18 00:00:00+00:00,84.836,2025-04-18 00:30:00+00:00,84.93599999999999,SL,-99.99999999999432
NZDJPY,2025-04-20 20:00:00+00:00,2025-04-21 04:00:00+00:00,buy,2025-04-20 23:30:00+00:00,84.344,2025-04-21 00:45:00+00:00,84.244,SL,-99.99999999999432
NZDJPY,2025-04-21 12:00:00+00:00,2025-04-21 20:00:00+00:00,sell,2025-04-21 15:00:00+00:00,84.556,2025-04-21 17:45:00+00:00,84.356,TP,200.00000000000284
NZDJPY,2025-04-22 12:00:00+00:00,2025-04-22 20:00:00+00:00,buy,2025-04-22 15:45:00+00:00,84.417,2025-04-22 16:15:00+00:00,84.617,TP,200.00000000000284
NZDJPY,2025-04-24 20:00:00+00:00,2025-04-25 04:00:00+00:00,sell,2025-04-25 01:15:00+00:00,85.589,2025-04-25 03:15:00+00:00,85.689,SL,-99.99999999999432
NZDJPY,2025-04-29 04:00:00+00:00,2025-04-29 12:00:00+00:00,buy,2025-04-29 08:15:00+00:00,85.079,2025-04-29 10:45:00+00:00,84.979,SL,-99.99999999999432
NZDJPY,2025-04-30 00:00:00+00:00,2025-04-30 08:00:00+00:00,buy,2025-04-30 03:45:00+00:00,84.512,2025-04-30 06:00:00+00:00,84.712,TP,200.00000000000284
NZDJPY,2025-05-02 04:00:00+00:00,2025-05-02 12:00:00+00:00,sell,2025-05-02 07:30:00+00:00,86.086,2025-05-02 08:00:00+00:00,85.886,TP,200.00000000000284
NZDJPY,2025-05-06 00:00:00+00:00,2025-05-06 08:00:00+00:00,buy,2025-05-06 02:15:00+00:00,85.716,2025-05-06 04:30:00+00:00,85.916,TP,200.00000000000284
NZDJPY,2025-05-08 00:00:00+00:00,2025-05-08 08:00:00+00:00,buy,2025-05-08 04:15:00+00:00,85.772,2025-05-08 05:30:00+00:00,85.67200000000001,SL,-99.99999999999432
NZDJPY,2025-05-13 16:00:00+00:00,2025-05-14 00:00:00+00:00,sell,2025-05-13 19:30:00+00:00,87.586,2025-05-13 21:00:00+00:00,87.386,TP,200.00000000000284
NZDJPY,2025-05-15 16:00:00+00:00,2025-05-16 00:00:00+00:00,buy,2025-05-15 18:45:00+00:00,85.552,2025-05-15 21:00:00+00:00,85.45200000000001,SL,-99.99999999999432
NZDJPY,2025-05-20 20:00:00+00:00,2025-05-21 04:00:00+00:00,sell,2025-05-21 01:45:00+00:00,85.591,2025-05-21 05:45:00+00:00,85.39099999999999,TP,200.00000000000284
NZDJPY,2025-05-22 12:00:00+00:00,2025-05-22 20:00:00+00:00,buy,2025-05-22 15:30:00+00:00,84.938,2025-05-22 21:00:00+00:00,84.83800000000001,SL,-99.99999999999432
NZDJPY,2025-05-26 08:00:00+00:00,2025-05-26 16:00:00+00:00,sell,2025-05-26 11:30:00+00:00,85.919,2025-05-26 16:15:00+00:00,85.719,TP,200.00000000000284
NZDJPY,2025-05-27 04:00:00+00:00,2025-05-27 12:00:00+00:00,buy,2025-05-27 07:30:00+00:00,85.784,2025-05-27 07:45:00+00:00,85.68400000000001,SL,-99.99999999999432
NZDJPY,2025-05-29 00:00:00+00:00,2025-05-29 08:00:00+00:00,sell,2025-05-29 04:00:00+00:00,86.495,2025-05-29 04:30:00+00:00,86.595,SL,-99.99999999999432
NZDJPY,2025-06-02 08:00:00+00:00,2025-06-02 16:00:00+00:00,sell,2025-06-02 10:45:00+00:00,85.943,2025-06-02 14:45:00+00:00,86.04299999999999,SL,-99.99999999999432
NZDJPY,2025-06-03 08:00:00+00:00,2025-06-03 16:00:00+00:00,buy,2025-06-03 12:30:00+00:00,85.904,2025-06-03 13:30:00+00:00,86.104,TP,200.00000000000284
NZDJPY,2025-06-04 12:00:00+00:00,2025-06-04 20:00:00+00:00,sell,2025-06-04 18:45:00+00:00,86.128,2025-06-05 01:30:00+00:00,86.228,SL,-99.99999999999432
NZDJPY,2025-06-05 16:00:00+00:00,2025-06-06 00:00:00+00:00,sell,2025-06-05 18:00:00+00:00,86.761,2025-06-05 20:45:00+00:00,86.56099999999999,TP,200.00000000000284
NZDJPY,2025-06-11 00:00:00+00:00,2025-06-11 08:00:00+00:00,sell,2025-06-11 05:45:00+00:00,87.503,2025-06-11 12:00:00+00:00,87.603,SL,-99.99999999999432
NZDJPY,2025-06-12 08:00:00+00:00,2025-06-12 16:00:00+00:00,buy,2025-06-12 10:00:00+00:00,86.762,2025-06-12 11:30:00+00:00,86.962,TP,200.00000000000284
NZDJPY,2025-06-16 20:00:00+00:00,2025-06-17 04:00:00+00:00,sell,2025-06-16 22:30:00+00:00,87.524,2025-06-16 23:00:00+00:00,87.624,SL,-99.99999999999432
NZDJPY,2025-06-18 12:00:00+00:00,2025-06-18 20:00:00+00:00,buy,2025-06-18 14:00:00+00:00,87.479,2025-06-18 14:15:00+00:00,87.379,SL,-99.99999999999432
NZDJPY,2025-06-19 08:00:00+00:00,2025-06-19 16:00:00+00:00,buy,2025-06-19 10:00:00+00:00,86.926,2025-06-19 11:45:00+00:00,87.126,TP,200.00000000000284
NZDJPY,2025-06-25 12:00:00+00:00,2025-06-25 20:00:00+00:00,sell,2025-06-25 14:45:00+00:00,87.721,2025-06-25 21:00:00+00:00,87.521,TP,200.00000000000284
NZDJPY,2025-06-26 04:00:00+00:00,2025-06-26 12:00:00+00:00,sell,2025-06-26 09:15:00+00:00,87.259,2025-06-26 09:45:00+00:00,87.359,SL,-99.99999999999432
NZDJPY,2025-07-01 12:00:00+00:00,2025-07-01 20:00:00+00:00,buy,2025-07-01 14:00:00+00:00,87.362,2025-07-01 18:45:00+00:00,87.562,TP,200.00000000000284
NZDJPY,2025-07-02 16:00:00+00:00,2025-07-03 00:00:00+00:00,buy,2025-07-02 18:00:00+00:00,87.419,2025-07-02 21:00:00+00:00,87.319,SL,-99.99999999999432
NZDJPY,2025-07-06 20:00:00+00:00,2025-07-07 04:00:00+00:00,buy,2025-07-06 23:00:00+00:00,87.522,2025-07-06 23:45:00+00:00,87.42200000000001,SL,-99.99999999999432
NZDJPY,2025-07-07 16:00:00+00:00,2025-07-08 00:00:00+00:00,sell,2025-07-07 18:15:00+00:00,87.588,2025-07-07 18:30:00+00:00,87.68799999999999,SL,-99.99999999999432
NZDJPY,2025-07-08 12:00:00+00:00,2025-07-08 20:00:00+00:00,sell,2025-07-08 15:15:00+00:00,87.957,2025-07-08 17:00:00+00:00,88.05699999999999,SL,-99.99999999999432
NZDJPY,2025-07-09 16:00:00+00:00,2025-07-10 00:00:00+00:00,buy,2025-07-09 18:00:00+00:00,87.781,2025-07-09 21:00:00+00:00,87.68100000000001,SL,-99.99999999999432
NZDJPY,2025-07-11 04:00:00+00:00,2025-07-11 12:00:00+00:00,sell,2025-07-11 07:00:00+00:00,88.354,2025-07-11 07:30:00+00:00,88.454,SL,-99.99999999999432
NZDJPY,2025-07-15 12:00:00+00:00,2025-07-15 20:00:00+00:00,sell,2025-07-15 18:45:00+00:00,88.513,2025-07-16 00:00:00+00:00,88.613,SL,-99.99999999999432
NZDJPY,2025-07-16 20:00:00+00:00,2025-07-17 04:00:00+00:00,buy,2025-07-16 23:30:00+00:00,87.982,2025-07-17 02:15:00+00:00,87.882,SL,-99.99999999999432
NZDJPY,2025-07-21 20:00:00+00:00,2025-07-22 04:00:00+00:00,buy,2025-07-21 22:00:00+00:00,87.939,2025-07-22 07:45:00+00:00,87.839,SL,-99.99999999999432
NZDJPY,2025-07-22 12:00:00+00:00,2025-07-22 20:00:00+00:00,buy,2025-07-22 14:30:00+00:00,87.601,2025-07-22 15:15:00+00:00,87.801,TP,200.00000000000284
NZDJPY,2025-07-23 08:00:00+00:00,2025-07-23 16:00:00+00:00,sell,2025-07-23 10:45:00+00:00,88.442,2025-07-23 15:45:00+00:00,88.54199999999999,SL,-99.99999999999432
NZDJPY,2025-07-24 16:00:00+00:00,2025-07-25 00:00:00+00:00,sell,2025-07-24 19:30:00+00:00,88.703,2025-07-25 00:00:00+00:00,88.803,SL,-99.99999999999432
NZDJPY,2025-07-28 00:00:00+00:00,2025-07-28 08:00:00+00:00,sell,2025-07-28 03:00:00+00:00,88.946,2025-07-28 07:00:00+00:00,88.746,TP,200.00000000000284
NZDJPY,2025-07-28 20:00:00+00:00,2025-07-29 04:00:00+00:00,sell,2025-07-28 23:30:00+00:00,88.699,2025-07-29 03:45:00+00:00,88.499,TP,200.00000000000284
NZDJPY,2025-07-30 20:00:00+00:00,2025-07-31 04:00:00+00:00,buy,2025-07-30 22:00:00+00:00,88.138,2025-07-31 01:15:00+00:00,88.03800000000001,SL,-99.99999999999432
NZDJPY,2025-07-31 20:00:00+00:00,2025-08-01 04:00:00+00:00,sell,2025-08-01 00:00:00+00:00,88.74,2025-08-01 01:00:00+00:00,88.83999999999999,SL,-99.99999999999432
NZDJPY,2025-08-04 20:00:00+00:00,2025-08-05 04:00:00+00:00,buy,2025-08-04 23:30:00+00:00,86.874,2025-08-05 02:45:00+00:00,86.774,SL,-99.99999999999432
NZDJPY,2025-08-06 12:00:00+00:00,2025-08-06 20:00:00+00:00,sell,2025-08-06 16:30:00+00:00,87.402,2025-08-07 01:00:00+00:00,87.502,SL,-99.99999999999432
NZDJPY,2025-08-12 04:00:00+00:00,2025-08-12 12:00:00+00:00,sell,2025-08-12 08:00:00+00:00,87.921,2025-08-12 14:00:00+00:00,88.021,SL,-99.99999999999432
NZDJPY,2025-08-13 08:00:00+00:00,2025-08-13 16:00:00+00:00,sell,2025-08-13 11:45:00+00:00,88.183,2025-08-13 15:00:00+00:00,87.983,TP,200.00000000000284
NZDJPY,2025-08-14 12:00:00+00:00,2025-08-14 20:00:00+00:00,buy,2025-08-14 16:45:00+00:00,87.418,2025-08-14 21:00:00+00:00,87.31800000000001,SL,-99.99999999999432
NZDJPY,2025-08-18 12:00:00+00:00,2025-08-18 20:00:00+00:00,sell,2025-08-18 16:30:00+00:00,87.493,2025-08-18 19:30:00+00:00,87.59299999999999,SL,-99.99999999999432
NZDJPY,2025-08-20 16:00:00+00:00,2025-08-21 00:00:00+00:00,buy,2025-08-20 18:00:00+00:00,85.791,2025-08-20 20:45:00+00:00,85.691,SL,-99.99999999999432
NZDJPY,2025-08-22 04:00:00+00:00,2025-08-22 12:00:00+00:00,sell,2025-08-22 07:15:00+00:00,86.21,2025-08-22 07:45:00+00:00,86.30999999999999,SL,-99.99999999999432
NZDJPY,2025-08-25 16:00:00+00:00,2025-08-26 00:00:00+00:00,sell,2025-08-25 19:15:00+00:00,86.427,2025-08-26 00:15:00+00:00,86.227,TP,200.00000000000284
NZDJPY,2025-08-27 04:00:00+00:00,2025-08-27 12:00:00+00:00,sell,2025-08-27 10:00:00+00:00,86.23,2025-08-27 13:45:00+00:00,86.33,SL,-99.99999999999432
