symbol,side,setup_type,previous_leg_start_time,previous_leg_end_time,previous_leg_end_price,corrective_leg_start_time,corrective_leg_end_time,corrective_leg_end_price,current_leg_start_time,current_leg_end_time,current_leg_end_price,continuation_level,h4_breakout_time,h4_breakout_open,h4_breakout_high,h4_breakout_low,h4_breakout_close,entry_time,entry,m15_entry_open,m15_entry_high,m15_entry_low,m15_entry_close,exit_time,exit,sl,tp,result,search_start,search_end,pnl_points
USDCAD,buy,bullish_bearish_bullish,2025-02-20 20:00:00+00:00,2025-02-28 20:00:00+00:00,1.44714,2025-02-28 20:00:00+00:00,2025-03-03 12:00:00+00:00,1.43682,2025-03-03 12:00:00+00:00,2025-03-04 16:00:00+00:00,1.45425,1.44714,2025-03-03 16:00:00+00:00,1.44008,1.45002,1.43963,1.44994,2025-03-03 19:45:00+00:00,1.44994,1.44271,1.45002,1.44262,1.44994,2025-03-03 20:30:00+00:00,1.45394,1.4489400000000001,1.45394,TP,2025-03-03 12:00:00+00:00,2025-03-04 16:00:00+00:00,400.00000000000034
USDCAD,sell,bearish_bullish_bearish,2025-02-28 20:00:00+00:00,2025-03-03 12:00:00+00:00,1.43682,2025-03-03 12:00:00+00:00,2025-03-04 16:00:00+00:00,1.45425,2025-03-04 16:00:00+00:00,2025-03-06 16:00:00+00:00,1.4238,1.43682,2025-03-05 16:00:00+00:00,1.4395,1.4419,1.43301,1.43353,2025-03-05 17:30:00+00:00,1.43629,1.43771,1.43771,1.43597,1.43629,2025-03-05 18:00:00+00:00,1.43729,1.43729,1.43229,SL,2025-03-04 16:00:00+00:00,2025-03-06 16:00:00+00:00,-99.99999999998897
USDCAD,sell,bearish_bullish_bearish,2025-03-11 12:00:00+00:00,2025-03-18 12:00:00+00:00,1.42598,2025-03-18 12:00:00+00:00,2025-03-20 12:00:00+00:00,1.44012,2025-03-20 12:00:00+00:00,2025-03-26 12:00:00+00:00,1.42346,1.42598,2025-03-26 04:00:00+00:00,1.42735,1.42788,1.42465,1.42499,2025-03-26 07:00:00+00:00,1.4259,1.42625,1.42655,1.42578,1.4259,2025-03-26 12:30:00+00:00,1.4268999999999998,1.4268999999999998,1.4219,SL,2025-03-20 12:00:00+00:00,2025-03-26 12:00:00+00:00,-99.99999999998897
USDCAD,sell,bearish_bullish_bearish,2025-03-20 12:00:00+00:00,2025-03-26 12:00:00+00:00,1.42346,2025-03-26 12:00:00+00:00,2025-04-01 12:00:00+00:00,1.44146,2025-04-01 12:00:00+00:00,2025-04-14 04:00:00+00:00,1.38281,1.42346,2025-04-02 20:00:00+00:00,1.43183,1.43659,1.42146,1.42164,2025-04-02 20:45:00+00:00,1.42292,1.43153,1.43281,1.42271,1.42292,2025-04-02 21:15:00+00:00,1.4239199999999999,1.4239199999999999,1.41892,SL,2025-04-01 12:00:00+00:00,2025-04-14 04:00:00+00:00,-99.99999999998897
USDCAD,sell,bearish_bullish_bearish,2025-04-01 12:00:00+00:00,2025-04-14 04:00:00+00:00,1.38281,2025-04-14 04:00:00+00:00,2025-04-15 16:00:00+00:00,1.39771,2025-04-15 16:00:00+00:00,2025-04-21 08:00:00+00:00,1.37805,1.38281,2025-04-20 20:00:00+00:00,1.38392,1.38429,1.38215,1.38246,2025-04-20 22:45:00+00:00,1.38269,1.3829,1.38307,1.38258,1.38269,2025-04-21 09:00:00+00:00,1.37869,1.3836899999999999,1.37869,TP,2025-04-15 16:00:00+00:00,2025-04-21 08:00:00+00:00,400.00000000000034
USDCAD,buy,bullish_bearish_bullish,2025-05-02 12:00:00+00:00,2025-05-06 00:00:00+00:00,1.38445,2025-05-06 00:00:00+00:00,2025-05-06 16:00:00+00:00,1.37499,2025-05-06 16:00:00+00:00,2025-05-09 16:00:00+00:00,1.39442,1.38445,2025-05-08 04:00:00+00:00,1.38262,1.38828,1.38243,1.38629,2025-05-08 05:15:00+00:00,1.38453,1.38379,1.38469,1.38367,1.38453,2025-05-08 09:30:00+00:00,1.38853,1.3835300000000001,1.38853,TP,2025-05-06 16:00:00+00:00,2025-05-09 16:00:00+00:00,400.00000000000034
USDCAD,buy,bullish_bearish_bullish,2025-05-06 16:00:00+00:00,2025-05-09 16:00:00+00:00,1.39442,2025-05-09 16:00:00+00:00,2025-05-11 20:00:00+00:00,1.38971,2025-05-11 20:00:00+00:00,2025-05-13 12:00:00+00:00,1.40159,1.39442,2025-05-12 04:00:00+00:00,1.39218,1.39757,1.39133,1.39697,2025-05-12 07:15:00+00:00,1.39657,1.39392,1.39687,1.39389,1.39657,2025-05-12 08:45:00+00:00,1.3955700000000002,1.3955700000000002,1.40057,SL,2025-05-11 20:00:00+00:00,2025-05-13 12:00:00+00:00,-99.99999999998897
USDCAD,sell,bearish_bullish_bearish,2025-05-09 16:00:00+00:00,2025-05-11 20:00:00+00:00,1.38971,2025-05-11 20:00:00+00:00,2025-05-13 12:00:00+00:00,1.40159,2025-05-13 12:00:00+00:00,2025-05-26 04:00:00+00:00,1.36857,1.38971,2025-05-21 00:00:00+00:00,1.39082,1.39105,1.38859,1.38889,2025-05-21 02:30:00+00:00,1.3897,1.38986,1.39019,1.38957,1.3897,2025-05-21 14:45:00+00:00,1.3857,1.3906999999999998,1.3857,TP,2025-05-13 12:00:00+00:00,2025-05-26 04:00:00+00:00,400.00000000000034
USDCAD,sell,bearish_bullish_bearish,2025-05-13 12:00:00+00:00,2025-05-26 04:00:00+00:00,1.36857,2025-05-26 04:00:00+00:00,2025-05-29 00:00:00+00:00,1.3861,2025-05-29 00:00:00+00:00,2025-06-05 12:00:00+00:00,1.36341,1.36857,2025-06-02 04:00:00+00:00,1.37226,1.37251,1.36738,1.36808,2025-06-02 07:15:00+00:00,1.3685,1.36887,1.3689,1.36802,1.3685,2025-06-02 08:45:00+00:00,1.3695,1.3695,1.3645,SL,2025-05-29 00:00:00+00:00,2025-06-05 12:00:00+00:00,-99.99999999998897
USDCAD,sell,bearish_bullish_bearish,2025-05-29 00:00:00+00:00,2025-06-05 12:00:00+00:00,1.36341,2025-06-05 12:00:00+00:00,2025-06-10 04:00:00+00:00,1.37282,2025-06-10 04:00:00+00:00,2025-06-16 12:00:00+00:00,1.35394,1.36341,2025-06-12 12:00:00+00:00,1.36357,1.36376,1.36082,1.36166,2025-06-12 12:15:00+00:00,1.36247,1.36297,1.36297,1.36243,1.36247,2025-06-13 01:00:00+00:00,1.36347,1.36347,1.35847,SL,2025-06-10 04:00:00+00:00,2025-06-16 12:00:00+00:00,-99.99999999998897
