symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
USDCAD,2025-02-21 04:00:00+00:00,2025-02-21 12:00:00+00:00,buy,2025-02-21 08:45:00+00:00,1.41931,2025-02-21 13:30:00+00:00,1.4183100000000002,SL,-99.99999999998897
USDCAD,2025-02-24 16:00:00+00:00,2025-02-25 00:00:00+00:00,sell,2025-02-24 18:00:00+00:00,1.42142,2025-02-24 19:30:00+00:00,1.4224199999999998,SL,-99.99999999998897
USDCAD,2025-02-26 16:00:00+00:00,2025-02-27 00:00:00+00:00,sell,2025-02-26 21:45:00+00:00,1.4334,2025-02-27 00:00:00+00:00,1.4344,SL,-99.99999999998897
USDCAD,2025-02-28 04:00:00+00:00,2025-02-28 12:00:00+00:00,sell,2025-02-28 06:30:00+00:00,1.44417,2025-02-28 07:30:00+00:00,1.4451699999999998,SL,-99.99999999998897
USDCAD,2025-03-03 16:00:00+00:00,2025-03-04 00:00:00+00:00,buy,2025-03-03 19:45:00+00:00,1.44994,2025-03-03 20:00:00+00:00,1.45194,TP,200.00000000000017
USDCAD,2025-03-10 00:00:00+00:00,2025-03-10 08:00:00+00:00,sell,2025-03-10 02:15:00+00:00,1.43602,2025-03-10 08:00:00+00:00,1.43702,SL,-99.99999999998897
USDCAD,2025-03-10 20:00:00+00:00,2025-03-11 04:00:00+00:00,sell,2025-03-10 22:15:00+00:00,1.44361,2025-03-11 01:15:00+00:00,1.44461,SL,-99.99999999998897
USDCAD,2025-03-12 08:00:00+00:00,2025-03-12 16:00:00+00:00,sell,2025-03-12 13:15:00+00:00,1.44006,2025-03-12 13:30:00+00:00,1.4410599999999998,SL,-99.99999999998897
USDCAD,2025-03-13 00:00:00+00:00,2025-03-13 08:00:00+00:00,buy,2025-03-13 02:15:00+00:00,1.43735,2025-03-13 05:30:00+00:00,1.43935,TP,200.00000000000017
USDCAD,2025-03-17 20:00:00+00:00,2025-03-18 04:00:00+00:00,buy,2025-03-17 23:45:00+00:00,1.4298,2025-03-18 01:15:00+00:00,1.4288,SL,-99.99999999998897
USDCAD,2025-03-19 08:00:00+00:00,2025-03-19 16:00:00+00:00,sell,2025-03-19 10:45:00+00:00,1.43271,2025-03-19 15:45:00+00:00,1.4337099999999998,SL,-99.99999999998897
USDCAD,2025-03-20 12:00:00+00:00,2025-03-20 20:00:00+00:00,sell,2025-03-20 17:45:00+00:00,1.43266,2025-03-21 05:30:00+00:00,1.43366,SL,-99.99999999998897
USDCAD,2025-03-24 16:00:00+00:00,2025-03-25 00:00:00+00:00,buy,2025-03-24 18:00:00+00:00,1.43166,2025-03-25 10:00:00+00:00,1.43066,SL,-99.99999999998897
USDCAD,2025-03-27 00:00:00+00:00,2025-03-27 08:00:00+00:00,sell,2025-03-27 04:00:00+00:00,1.42624,2025-03-27 05:45:00+00:00,1.4272399999999998,SL,-99.99999999998897
USDCAD,2025-04-01 00:00:00+00:00,2025-04-01 08:00:00+00:00,sell,2025-04-01 08:00:00+00:00,1.43953,2025-04-01 09:00:00+00:00,1.43753,TP,200.00000000000017
USDCAD,2025-04-02 00:00:00+00:00,2025-04-02 08:00:00+00:00,buy,2025-04-02 02:45:00+00:00,1.43021,2025-04-02 10:30:00+00:00,1.43221,TP,200.00000000000017
USDCAD,2025-04-03 16:00:00+00:00,2025-04-04 00:00:00+00:00,buy,2025-04-03 19:15:00+00:00,1.40904,2025-04-03 20:45:00+00:00,1.4080400000000002,SL,-99.99999999998897
USDCAD,2025-04-07 08:00:00+00:00,2025-04-07 16:00:00+00:00,buy,2025-04-07 10:45:00+00:00,1.42565,2025-04-07 11:00:00+00:00,1.4246500000000002,SL,-99.99999999998897
USDCAD,2025-04-09 00:00:00+00:00,2025-04-09 08:00:00+00:00,sell,2025-04-09 04:15:00+00:00,1.42269,2025-04-09 05:00:00+00:00,1.42369,SL,-99.99999999998897
USDCAD,2025-04-10 08:00:00+00:00,2025-04-10 16:00:00+00:00,buy,2025-04-10 11:15:00+00:00,1.40671,2025-04-10 11:45:00+00:00,1.40871,TP,200.00000000000017
USDCAD,2025-04-15 20:00:00+00:00,2025-04-16 04:00:00+00:00,sell,2025-04-15 22:00:00+00:00,1.39554,2025-04-16 04:30:00+00:00,1.39354,TP,200.00000000000017
USDCAD,2025-04-17 00:00:00+00:00,2025-04-17 08:00:00+00:00,buy,2025-04-17 03:15:00+00:00,1.3876,2025-04-17 07:45:00+00:00,1.3866,SL,-99.99999999998897
USDCAD,2025-04-18 08:00:00+00:00,2025-04-18 16:00:00+00:00,sell,2025-04-18 11:15:00+00:00,1.38535,2025-04-18 11:30:00+00:00,1.38635,SL,-99.99999999998897
USDCAD,2025-04-21 04:00:00+00:00,2025-04-21 12:00:00+00:00,buy,2025-04-21 06:00:00+00:00,1.37989,2025-04-21 09:00:00+00:00,1.3788900000000002,SL,-99.99999999998897
USDCAD,2025-04-21 20:00:00+00:00,2025-04-22 04:00:00+00:00,sell,2025-04-21 22:00:00+00:00,1.38375,2025-04-22 03:00:00+00:00,1.38175,TP,200.00000000000017
USDCAD,2025-04-24 08:00:00+00:00,2025-04-24 16:00:00+00:00,buy,2025-04-24 10:00:00+00:00,1.38475,2025-04-24 12:15:00+00:00,1.38675,TP,200.00000000000017
USDCAD,2025-04-28 08:00:00+00:00,2025-04-28 16:00:00+00:00,sell,2025-04-28 11:30:00+00:00,1.3868,2025-04-28 13:30:00+00:00,1.3848,TP,200.00000000000017
