symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
USDCHF,2025-02-27 04:00:00+00:00,2025-02-27 12:00:00+00:00,sell,2025-02-27 06:00:00+00:00,0.8967,2025-02-27 09:45:00+00:00,0.8977,SL,-100.00000000000009
USDCHF,2025-02-28 00:00:00+00:00,2025-02-28 08:00:00+00:00,sell,2025-02-28 03:30:00+00:00,0.89881,2025-02-28 06:45:00+00:00,0.89981,SL,-100.00000000000009
USDCHF,2025-03-04 12:00:00+00:00,2025-03-04 20:00:00+00:00,buy,2025-03-04 15:15:00+00:00,0.8901,2025-03-04 18:00:00+00:00,0.8891,SL,-100.00000000000009
USDCHF,2025-03-06 04:00:00+00:00,2025-03-06 12:00:00+00:00,sell,2025-03-06 09:00:00+00:00,0.88737,2025-03-06 10:00:00+00:00,0.88537,TP,200.00000000000017
USDCHF,2025-03-11 08:00:00+00:00,2025-03-11 16:00:00+00:00,buy,2025-03-11 15:00:00+00:00,0.87985,2025-03-11 18:30:00+00:00,0.88185,TP,200.00000000000017
USDCHF,2025-03-12 04:00:00+00:00,2025-03-12 12:00:00+00:00,sell,2025-03-12 08:00:00+00:00,0.88177,2025-03-12 09:15:00+00:00,0.88277,SL,-100.00000000000009
USDCHF,2025-03-13 08:00:00+00:00,2025-03-13 16:00:00+00:00,buy,2025-03-13 11:45:00+00:00,0.88267,2025-03-13 12:15:00+00:00,0.88167,SL,-100.00000000000009
USDCHF,2025-03-17 20:00:00+00:00,2025-03-18 04:00:00+00:00,buy,2025-03-17 22:00:00+00:00,0.88082,2025-03-18 08:00:00+00:00,0.87982,SL,-100.00000000000009
USDCHF,2025-03-18 20:00:00+00:00,2025-03-19 04:00:00+00:00,buy,2025-03-18 22:15:00+00:00,0.87671,2025-03-19 10:00:00+00:00,0.87871,TP,200.00000000000017
USDCHF,2025-03-19 16:00:00+00:00,2025-03-20 00:00:00+00:00,sell,2025-03-19 18:00:00+00:00,0.87882,2025-03-19 22:00:00+00:00,0.87682,TP,200.00000000000017
USDCHF,2025-03-20 16:00:00+00:00,2025-03-21 00:00:00+00:00,sell,2025-03-20 18:15:00+00:00,0.88131,2025-03-21 00:15:00+00:00,0.88231,SL,-100.00000000000009
USDCHF,2025-03-28 00:00:00+00:00,2025-03-28 08:00:00+00:00,buy,2025-03-28 03:15:00+00:00,0.88231,2025-03-28 07:15:00+00:00,0.88131,SL,-100.00000000000009
USDCHF,2025-03-31 20:00:00+00:00,2025-04-01 04:00:00+00:00,sell,2025-03-31 23:30:00+00:00,0.88387,2025-04-01 09:00:00+00:00,0.88187,TP,200.00000000000017
USDCHF,2025-04-09 04:00:00+00:00,2025-04-09 12:00:00+00:00,buy,2025-04-09 06:00:00+00:00,0.84371,2025-04-09 06:15:00+00:00,0.84271,SL,-100.00000000000009
USDCHF,2025-04-16 08:00:00+00:00,2025-04-16 16:00:00+00:00,buy,2025-04-16 10:45:00+00:00,0.81787,2025-04-16 11:15:00+00:00,0.81687,SL,-100.00000000000009
USDCHF,2025-04-17 08:00:00+00:00,2025-04-17 16:00:00+00:00,sell,2025-04-17 10:00:00+00:00,0.81695,2025-04-17 12:00:00+00:00,0.81795,SL,-100.00000000000009
USDCHF,2025-04-18 04:00:00+00:00,2025-04-18 12:00:00+00:00,buy,2025-04-18 06:30:00+00:00,0.81864,2025-04-18 07:30:00+00:00,0.81764,SL,-100.00000000000009
