symbol,side,setup_type,previous_leg_start_time,previous_leg_end_time,previous_leg_end_price,corrective_leg_start_time,corrective_leg_end_time,corrective_leg_end_price,current_leg_start_time,current_leg_end_time,current_leg_end_price,continuation_level,h4_breakout_time,h4_breakout_open,h4_breakout_high,h4_breakout_low,h4_breakout_close,entry_time,entry,m15_entry_open,m15_entry_high,m15_entry_low,m15_entry_close,exit_time,exit,sl,tp,result,search_start,search_end,pnl_points
USDJPY,buy,bullish_bearish_bullish,2025-02-20 20:00:00+00:00,2025-02-21 00:00:00+00:00,150.732,2025-02-21 00:00:00+00:00,2025-02-25 12:00:00+00:00,148.562,2025-02-25 12:00:00+00:00,2025-03-03 12:00:00+00:00,151.301,150.732,2025-03-02 20:00:00+00:00,150.644,151.019,150.632,150.806,2025-03-02 23:00:00+00:00,150.957,150.703,150.981,150.699,150.957,2025-03-02 23:15:00+00:00,150.857,150.857,151.357,SL,2025-02-25 12:00:00+00:00,2025-03-03 12:00:00+00:00,-99.99999999999432
USDJPY,sell,bearish_bullish_bearish,2025-02-21 00:00:00+00:00,2025-02-25 12:00:00+00:00,148.562,2025-02-25 12:00:00+00:00,2025-03-03 12:00:00+00:00,151.301,2025-03-03 12:00:00+00:00,2025-03-11 00:00:00+00:00,146.538,148.562,2025-03-04 08:00:00+00:00,149.345,149.452,148.288,148.364,2025-03-04 11:30:00+00:00,148.405,148.653,148.664,148.324,148.405,2025-03-04 13:30:00+00:00,148.505,148.505,148.005,SL,2025-03-03 12:00:00+00:00,2025-03-11 00:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-03-11 00:00:00+00:00,2025-03-12 12:00:00+00:00,149.194,2025-03-12 12:00:00+00:00,2025-03-13 16:00:00+00:00,147.411,2025-03-13 16:00:00+00:00,2025-03-19 12:00:00+00:00,150.146,149.194,2025-03-17 20:00:00+00:00,149.156,149.396,149.053,149.395,2025-03-17 20:30:00+00:00,149.201,149.184,149.228,149.14,149.201,2025-03-17 21:30:00+00:00,149.101,149.101,149.601,SL,2025-03-13 16:00:00+00:00,2025-03-19 12:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-03-13 16:00:00+00:00,2025-03-19 12:00:00+00:00,150.146,2025-03-19 12:00:00+00:00,2025-03-20 04:00:00+00:00,148.178,2025-03-20 04:00:00+00:00,2025-03-28 00:00:00+00:00,151.208,150.146,2025-03-24 12:00:00+00:00,149.754,150.754,149.703,150.738,2025-03-24 13:45:00+00:00,150.238,149.789,150.256,149.789,150.238,2025-03-24 14:00:00+00:00,150.138,150.138,150.638,SL,2025-03-20 04:00:00+00:00,2025-03-28 00:00:00+00:00,-99.99999999999432
USDJPY,sell,bearish_bullish_bearish,2025-03-28 00:00:00+00:00,2025-03-31 04:00:00+00:00,148.698,2025-03-31 04:00:00+00:00,2025-04-02 20:00:00+00:00,150.484,2025-04-02 20:00:00+00:00,2025-04-04 08:00:00+00:00,144.55,148.698,2025-04-03 00:00:00+00:00,147.876,148.335,147.113,147.268,2025-04-03 00:15:00+00:00,148.258,148.053,148.335,147.988,148.258,2025-04-03 00:30:00+00:00,147.858,148.358,147.858,TP,2025-04-02 20:00:00+00:00,2025-04-04 08:00:00+00:00,400.0000000000057
USDJPY,sell,bearish_bullish_bearish,2025-04-07 16:00:00+00:00,2025-04-09 12:00:00+00:00,143.992,2025-04-09 12:00:00+00:00,2025-04-09 16:00:00+00:00,148.277,2025-04-09 16:00:00+00:00,2025-04-22 04:00:00+00:00,139.885,143.992,2025-04-10 20:00:00+00:00,144.658,144.833,143.712,143.749,2025-04-10 23:45:00+00:00,143.749,144.016,144.027,143.712,143.749,2025-04-11 00:00:00+00:00,143.349,143.849,143.349,TP,2025-04-09 16:00:00+00:00,2025-04-22 04:00:00+00:00,400.0000000000057
USDJPY,buy,bullish_bearish_bullish,2025-04-22 04:00:00+00:00,2025-04-25 12:00:00+00:00,144.029,2025-04-25 12:00:00+00:00,2025-04-28 20:00:00+00:00,141.938,2025-04-28 20:00:00+00:00,2025-05-02 00:00:00+00:00,145.924,144.029,2025-05-01 04:00:00+00:00,143.687,144.742,143.687,144.365,2025-05-01 05:15:00+00:00,144.198,143.992,144.225,143.92,144.198,2025-05-01 05:30:00+00:00,144.098,144.098,144.598,SL,2025-04-28 20:00:00+00:00,2025-05-02 00:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-04-28 20:00:00+00:00,2025-05-02 00:00:00+00:00,145.924,2025-05-02 00:00:00+00:00,2025-05-06 12:00:00+00:00,142.353,2025-05-06 12:00:00+00:00,2025-05-12 16:00:00+00:00,148.651,145.924,2025-05-08 20:00:00+00:00,145.915,146.067,145.739,145.95,2025-05-08 23:00:00+00:00,145.941,145.828,145.974,145.8,145.941,2025-05-09 00:00:00+00:00,145.841,145.841,146.341,SL,2025-05-06 12:00:00+00:00,2025-05-12 16:00:00+00:00,-99.99999999999432
USDJPY,buy,bullish_bearish_bullish,2025-06-13 00:00:00+00:00,2025-06-18 00:00:00+00:00,145.44,2025-06-18 00:00:00+00:00,2025-06-18 16:00:00+00:00,144.327,2025-06-18 16:00:00+00:00,2025-06-23 08:00:00+00:00,148.025,145.44,2025-06-19 08:00:00+00:00,145.389,145.77,145.248,145.669,2025-06-19 10:30:00+00:00,145.592,145.438,145.608,145.437,145.592,2025-06-19 13:00:00+00:00,145.49200000000002,145.49200000000002,145.99200000000002,SL,2025-06-18 16:00:00+00:00,2025-06-23 08:00:00+00:00,-99.99999999999432
USDJPY,sell,bearish_bullish_bearish,2025-06-18 00:00:00+00:00,2025-06-18 16:00:00+00:00,144.327,2025-06-18 16:00:00+00:00,2025-06-23 08:00:00+00:00,148.025,2025-06-23 08:00:00+00:00,2025-06-26 08:00:00+00:00,143.75,144.327,2025-06-26 04:00:00+00:00,144.782,144.965,143.93,144.064,2025-06-26 06:45:00+00:00,144.305,144.347,144.401,144.279,144.305,2025-06-26 08:00:00+00:00,143.905,144.405,143.905,TP,2025-06-23 08:00:00+00:00,2025-06-26 08:00:00+00:00,400.0000000000057
