symbol,setup_time,deadline,side,entry_time,entry,exit_time,exit,result,pnl_points
USDJPY,2025-02-26 12:00:00+00:00,2025-02-26 20:00:00+00:00,sell,2025-02-26 14:15:00+00:00,149.52,2025-02-26 14:30:00+00:00,149.32000000000002,TP,199.99999999998863
USDJPY,2025-02-27 16:00:00+00:00,2025-02-28 00:00:00+00:00,sell,2025-02-27 19:15:00+00:00,150.002,2025-02-27 19:30:00+00:00,149.80200000000002,TP,199.99999999998863
USDJPY,2025-03-05 04:00:00+00:00,2025-03-05 12:00:00+00:00,sell,2025-03-05 07:30:00+00:00,149.615,2025-03-05 07:45:00+00:00,149.41500000000002,TP,199.99999999998863
USDJPY,2025-03-05 20:00:00+00:00,2025-03-06 04:00:00+00:00,buy,2025-03-05 23:30:00+00:00,148.93,2025-03-06 00:00:00+00:00,149.13,TP,199.99999999998863
USDJPY,2025-03-12 12:00:00+00:00,2025-03-12 20:00:00+00:00,sell,2025-03-12 16:30:00+00:00,148.214,2025-03-12 16:45:00+00:00,148.314,SL,-99.99999999999432
USDJPY,2025-03-13 08:00:00+00:00,2025-03-13 16:00:00+00:00,buy,2025-03-13 12:30:00+00:00,148.183,2025-03-13 13:45:00+00:00,148.083,SL,-99.99999999999432
USDJPY,2025-03-14 08:00:00+00:00,2025-03-14 16:00:00+00:00,sell,2025-03-14 10:00:00+00:00,148.881,2025-03-14 10:30:00+00:00,148.681,TP,199.99999999998863
USDJPY,2025-03-18 08:00:00+00:00,2025-03-18 16:00:00+00:00,sell,2025-03-18 10:00:00+00:00,149.658,2025-03-18 11:45:00+00:00,149.75799999999998,SL,-99.99999999999432
USDJPY,2025-03-20 04:00:00+00:00,2025-03-20 12:00:00+00:00,buy,2025-03-20 07:00:00+00:00,148.371,2025-03-20 07:30:00+00:00,148.571,TP,199.99999999998863
USDJPY,2025-03-26 04:00:00+00:00,2025-03-26 12:00:00+00:00,sell,2025-03-26 06:15:00+00:00,150.529,2025-03-26 08:00:00+00:00,150.329,TP,199.99999999998863
USDJPY,2025-03-27 04:00:00+00:00,2025-03-27 12:00:00+00:00,buy,2025-03-27 06:15:00+00:00,150.318,2025-03-27 07:45:00+00:00,150.518,TP,199.99999999998863
USDJPY,2025-03-28 08:00:00+00:00,2025-03-28 16:00:00+00:00,buy,2025-03-28 12:15:00+00:00,150.802,2025-03-28 12:30:00+00:00,150.702,SL,-99.99999999999432
USDJPY,2025-03-31 20:00:00+00:00,2025-04-01 04:00:00+00:00,sell,2025-04-01 00:00:00+00:00,149.798,2025-04-01 00:15:00+00:00,149.898,SL,-99.99999999999432
USDJPY,2025-04-01 12:00:00+00:00,2025-04-01 20:00:00+00:00,buy,2025-04-01 15:00:00+00:00,149.405,2025-04-01 15:15:00+00:00,149.305,SL,-99.99999999999432
USDJPY,2025-04-03 16:00:00+00:00,2025-04-04 00:00:00+00:00,buy,2025-04-03 18:30:00+00:00,146.36,2025-04-03 19:45:00+00:00,146.26000000000002,SL,-99.99999999999432
USDJPY,2025-04-06 20:00:00+00:00,2025-04-07 04:00:00+00:00,sell,2025-04-07 03:30:00+00:00,146.28,2025-04-07 04:00:00+00:00,146.38,SL,-99.99999999999432
USDJPY,2025-04-08 12:00:00+00:00,2025-04-08 20:00:00+00:00,buy,2025-04-08 17:45:00+00:00,146.651,2025-04-08 18:00:00+00:00,146.55100000000002,SL,-99.99999999999432
USDJPY,2025-04-09 04:00:00+00:00,2025-04-09 12:00:00+00:00,buy,2025-04-09 06:00:00+00:00,145.524,2025-04-09 06:15:00+00:00,145.424,SL,-99.99999999999432
USDJPY,2025-04-10 16:00:00+00:00,2025-04-11 00:00:00+00:00,buy,2025-04-10 18:15:00+00:00,144.631,2025-04-10 18:30:00+00:00,144.531,SL,-99.99999999999432
USDJPY,2025-04-16 08:00:00+00:00,2025-04-16 16:00:00+00:00,buy,2025-04-16 10:45:00+00:00,142.796,2025-04-16 11:00:00+00:00,142.696,SL,-99.99999999999432
USDJPY,2025-04-17 00:00:00+00:00,2025-04-17 08:00:00+00:00,buy,2025-04-17 03:45:00+00:00,142.607,2025-04-17 05:00:00+00:00,142.507,SL,-99.99999999999432
USDJPY,2025-04-21 08:00:00+00:00,2025-04-21 16:00:00+00:00,buy,2025-04-21 13:00:00+00:00,140.839,2025-04-21 13:30:00+00:00,141.039,TP,199.99999999998863
USDJPY,2025-04-22 00:00:00+00:00,2025-04-22 08:00:00+00:00,sell,2025-04-22 05:15:00+00:00,139.948,2025-04-22 05:30:00+00:00,140.048,SL,-99.99999999999432
USDJPY,2025-04-23 00:00:00+00:00,2025-04-23 08:00:00+00:00,sell,2025-04-23 04:15:00+00:00,142.046,2025-04-23 05:00:00+00:00,141.846,TP,199.99999999998863
USDJPY,2025-04-24 08:00:00+00:00,2025-04-24 16:00:00+00:00,buy,2025-04-24 13:30:00+00:00,142.505,2025-04-24 14:00:00+00:00,142.405,SL,-99.99999999999432
