symbol,pnl_tp_200,pnl_tp_300,pnl_tp_400,trades_tp_200,trades_tp_300,trades_tp_400
AUDCAD,-400.0,-200.0,-400.0,34,34,34
AUDCHF,500.0,-100.0,-200.0,37,37,37
AUDJPY,700.0,900.0,1000.0,35,35,35
AUDNZD,1600.0,1200.0,800.0,32,32,32
AUDUSD,2700.0,2600.0,2500.0,30,30,30
CADCHF,1000.0,700.0,600.0,29,29,29
CADJPY,2900.0,2000.0,3000.0,40,40,40
CHFJPY,1400.0,2200.0,2100.0,34,34,34
EURAUD,1300.0,1400.0,900.0,26,26,26
EURCAD,1600.0,2400.0,1800.0,32,32,32
EURCHF,500.0,400.0,-500.0,40,40,40
EURGBP,1100.0,700.0,-200.0,37,37,37
EURJPY,200.0,1100.0,800.0,37,37,37
EURNZD,1900.0,1300.0,2000.0,35,35,35
EURUSD,200.0,600.0,-400.0,34,34,34
GBPAUD,1100.0,1000.0,600.0,34,34,34
GBPCAD,2000.0,2600.0,2600.0,34,34,34
GBPCHF,-200.0,400.0,800.0,32,32,32
GBPJPY,500.0,1400.0,1100.0,34,34,34
GBPNZD,2900.0,4100.0,4400.0,31,31,31
GBPUSD,1200.0,400.0,200.0,48,48,48
NZDCAD,3600.0,3700.0,3100.0,39,39,39
NZDCHF,-200.0,-400.0,-200.0,32,32,32
NZDJPY,900.0,400.0,400.0,36,36,36
NZDUSD,1000.0,1600.0,1800.0,32,32,32
USDCAD,1800.0,2600.0,3500.0,30,30,30
USDCHF,1900.0,300.0,1100.0,29,29,29
USDJPY,500.0,1100.0,1500.0,25,25,25
